#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;AdvMAME;;1988;Konami;;4;;;good;0;;;;;4
99lstwar;'99: The Last War;AdvMAME;sonofphx;1985;Proma;;2;;joy8way;good;0;;sonofphx;;;2
99lstwrk;'99: The Last War (Kyugo);AdvMAME;sonofphx;1985;Kyugo;;2;;joy8way;good;0;;sonofphx;;;2
99lstwra;'99: The Last War (alternate);AdvMAME;sonofphx;1985;Proma;;2;;joy8way;good;0;;sonofphx;;;2
yumefuda;(Medal) Yumefuda [BET];AdvMAME;;;Alba;;1;;;preliminary;0;;;;;6
005;005;AdvMAME;;1981;Sega;;2;;joy4way;preliminary;0;;;;;1
yard;10-Yard Fight (Japan);AdvMAME;;1983;Irem;;2;;joy8way;good;0;;;;;2
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);AdvMAME;gtmr;1994;Kaneko;;2;;paddle;good;0;;gtmr;;;2
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);AdvMAME;;1994;Kaneko;;2;;paddle;good;0;;;;;2
1941j;1941 - Counter Attack (Japan);AdvMAME;1941;1990;Capcom;;2;;joy8way;good;0;;1941;;;2
1941;1941 - Counter Attack (World);AdvMAME;;1990;Capcom;;2;;joy8way;good;0;;;;;2
pc_1942;1942 (PlayChoice-10);AdvMAME;;1987;Capcom;;2;;joy8way;imperfect;0;;playch10;;;2
1942;1942 (set 1);AdvMAME;;1984;Capcom;;2;;joy8way;good;0;;;;;2
1942a;1942 (set 2);AdvMAME;1942;1984;Capcom;;2;;joy8way;good;0;;1942;;;2
1942b;1942 (set 3);AdvMAME;1942;1984;Capcom;;2;;joy8way;good;0;;1942;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);AdvMAME;;1987;Capcom;;2;;joy8way;good;0;;;;;2
1943j;1943: Midway Kaisen (Japan);AdvMAME;1943;1987;Capcom;;2;;joy8way;good;0;;1943;;;2
1943;1943: The Battle of Midway (US);AdvMAME;;1987;Capcom;;2;;joy8way;good;0;;;;;2
1944j;1944: The Loop Master (Japan 000620);AdvMAME;1944;2000;Capcom, supported by Eighting/Raizing;;2;;joy8way;preliminary;0;;1944;;;2
1944;1944: The Loop Master (US 000620);AdvMAME;;2000;Capcom, supported by Eighting/Raizing;;2;;joy8way;good;0;;;;;2
1945kiii;1945k III;AdvMAME;;2000;Oriental;;2;;joy8way;good;0;;;;;4
19xxa;19XX: The War Against Destiny (Asia 951207);AdvMAME;19xx;1996;Capcom;;2;;joy8way;good;0;;19xx;;;2
19xxh;19XX: The War Against Destiny (Hispanic 951218);AdvMAME;19xx;1996;Capcom;;2;;joy8way;good;0;;19xx;;;2
19xxjr1;19XX: The War Against Destiny (Japan 951207);AdvMAME;19xx;1996;Capcom;;2;;joy8way;good;0;;19xx;;;2
19xxj;19XX: The War Against Destiny (Japan 951225);AdvMAME;19xx;1996;Capcom;;2;;joy8way;preliminary;0;;19xx;;;2
19xx;19XX: The War Against Destiny (US 951207);AdvMAME;;1996;Capcom;;2;;joy8way;good;0;;;;;2
openice;2 On 2 Open Ice Challenge (rev 1.21);AdvMAME;;1995;Midway;;4;;joy8way;good;0;;;;;3
2020bb;2020 Super Baseball (set 1);AdvMAME;;1991;SNK / Pallas;;2;;joy8way;good;0;;neogeo;;;4
2020bba;2020 Super Baseball (set 2);AdvMAME;2020bb;1991;SNK / Pallas;;2;;joy8way;good;0;;2020bb;;;4
2020bbh;2020 Super Baseball (set 3);AdvMAME;2020bb;1991;SNK / Pallas;;2;;joy8way;good;0;;2020bb;;;4
