#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;Arcade;;1988;Konami;;4;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;;3
flagrall;'96 Flag Rally;Arcade;;1996;Promat?;;1;0;joystick (8-way);good;1;raster;;;;2
99lstwark;'99: The Last War (Kyugo);Arcade;repulse;1985;Crux / Kyugo;;2;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;;;2
99lstwar;'99: The Last War (set 1);Arcade;repulse;1985;Crux / Proma;;2;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;;;2
99lstwara;'99: The Last War (set 2);Arcade;repulse;1985;Crux / Proma;;2;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;;;2
005;005;Arcade;;1981;Sega;;2;270;joystick (4-way),joystick (4-way);imperfect;1;raster;;;;1
1on1gov;1 on 1 Government (Japan);Arcade;;2000;Tecmo;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;tps;;;3
10yard85;10-Yard Fight '85 (US, Taito license);Arcade;10yard;1985;Irem (Taito license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;10yard;;;2
10yardj;10-Yard Fight (Japan);Arcade;10yard;1983;Irem;;2;0;joystick (8-way),joystick (8-way);good;1;raster;10yard;;;2
10yard;10-Yard Fight (World, set 1);Arcade;;1983;Irem;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);Arcade;gtmr;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;;;2
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);Arcade;gtmr;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;;;2
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Arcade;gtmr;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;;;2
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);Arcade;;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;;;;2
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);Arcade;cprogolf;1982;Data East Corporation;;2;270;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;cprogolf;;;2
progolf;18 Holes Pro Golf (set 1);Arcade;;1981;Data East Corporation;;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1
progolfa;18 Holes Pro Golf (set 2);Arcade;progolf;1981;Data East Corporation;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;progolf;;;1
18wheelr;18 Wheeler (deluxe) (Rev A);Arcade;;2000;Sega;;1;0;paddle,pedal;preliminary;1;raster;naomi;;;5
18w;18 Wheeler (set 1);Arcade;;1979;Midway;;1;;paddle,pedal;preliminary;0;;;;mechanical;2
18w2;18 Wheeler (set 2);Arcade;18w;1979;Midway;;1;;paddle,pedal;preliminary;0;;18w;;mechanical;2
18wheels;18 Wheeler (standard);Arcade;18wheelr;2000;Sega;;1;0;paddle,pedal;preliminary;1;raster;18wheelr;;;5
18wheelu;18 Wheeler (upright);Arcade;18wheelr;2000;Sega;;1;0;paddle,pedal;preliminary;1;raster;18wheelr;;;5
19in1;19 in 1 MAME bootleg;Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
1941j;1941: Counter Attack (Japan);Arcade;1941;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1941;;;2
1941u;1941: Counter Attack (USA 900227);Arcade;1941;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1941;;;2
1941;1941: Counter Attack (World 900227);Arcade;;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2
1941r1;1941: Counter Attack (World);Arcade;1941;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1941;;;2
1942c64;1942 (C64 Music);Arcade;1942;2015;hack by Minwah;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2
1942b;1942 (First Version);Arcade;1942;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2
pc_1942;1942 (PlayChoice-10);Arcade;;1987;Capcom;;2;0;joystick (8-way),joystick (8-way);imperfect;2;raster;playch10;;;2
1942a;1942 (Revision A);Arcade;1942;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2
1942abl;1942 (Revision A, bootleg);Arcade;1942;1984;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2
1942;1942 (Revision B);Arcade;;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2
1942p;1942 (Tecfri PCB, bootleg?);Arcade;1942;1984;bootleg;;1;270;joystick (8-way);good;1;raster;1942;;;2
1942w;1942 (Williams Electronics license);Arcade;1942;1985;Capcom (Williams Electronics license);;2;270;joystick (8-way),joystick (8-way);good;1;raster;1942;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);Arcade;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2
1943b;1943: Battle of Midway (bootleg, hack of Japan set);Arcade;1943;1987;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2
1943ja;1943: Midway Kaisen (Japan);Arcade;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2
1943j;1943: Midway Kaisen (Japan, Rev B);Arcade;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2
1943bj;1943: Midway Kaisen (bootleg);Arcade;1943;1987;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2
1943;1943: The Battle of Midway (Euro);Arcade;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2
1943ua;1943: The Battle of Midway (US);Arcade;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2
1943u;1943: The Battle of Midway (US, Rev C);Arcade;1943;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1943;;;2
1943mii;1943: The Battle of Midway Mark II (US);Arcade;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2
1944j;1944: The Loop Master (Japan 000620);Arcade;1944;2000;Eighting / Raizing (Capcom license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;1944;;;2
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);Arcade;1944;2000;bootleg;;2;0;joystick (8-way),joystick (8-way);good;1;raster;1944;;;2
1944;1944: The Loop Master (USA 000620);Arcade;;2000;Eighting / Raizing (Capcom license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);Arcade;bgaregga;1996;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;bgaregga;;;3
1945kiii;1945k III (newer, OPCX2 PCB);Arcade;;2000;Oriental Soft;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;4
1945kiiio;1945k III (older, OPCX1 PCB);Arcade;1945kiii;1999;Oriental Soft;;2;270;joystick (8-way),joystick (8-way);good;1;raster;1945kiii;;;4
spikes91;1991 Spikes (Italian bootleg, set 1);Arcade;pspikes;1991;bootleg;;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;pspikes;;;3
spikes91b;1991 Spikes (Italian bootleg, set 2);Arcade;pspikes;1991;bootleg;;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;pspikes;;;3
19xxar1;19XX: The War Against Destiny (Asia 951207);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxa;19XX: The War Against Destiny (Asia 960104);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxb;19XX: The War Against Destiny (Brazil 951218);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxh;19XX: The War Against Destiny (Hispanic 951218);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxjr2;19XX: The War Against Destiny (Japan 951207);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxjr1;19XX: The War Against Destiny (Japan 951225);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);Arcade;19xx;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);Arcade;19xx;1996;bootleg;;2;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;;;2
19xx;19XX: The War Against Destiny (USA 951207);Arcade;;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2
openice;2 On 2 Open Ice Challenge (rev 1.21);Arcade;;1995;Midway;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3
2spicy;2 Spicy;Arcade;;2007;Sega;;0;;;preliminary;0;;lindbios;;chd;
2020bb;2020 Super Baseball (set 1);Arcade;;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4
2020bba;2020 Super Baseball (set 2);Arcade;2020bb;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;2020bb;;;4
2020bbh;2020 Super Baseball (set 3);Arcade;2020bb;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;2020bb;;;4
m21;21 (Mirco);Arcade;hitme;1976;Mirco Games;;4;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;hitme;;;3
280zzzap;280-ZZZAP;Arcade;;1976;Dave Nutting Associates / Midway;;1;0;paddle,pedal;preliminary;1;raster;;;;1
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);Arcade;;1993;SNK;;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4
3lilpigs;3 Lil' Pigs;Arcade;;199?;Doyle & Assoc.;;1;0;keypad;preliminary;1;lcd;;;mechanical;9
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);Arcade;;1996;Video System Co.;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4
3super8;3 Super 8 (Italy);Arcade;;1993?;<unknown>;;1;0;gambling;preliminary;1;raster;;;;8
bowl3d;3-D Bowling;Arcade;;1978;Meadows Games, Inc.;;2;90;joystick (2-way),joystick (2-way);preliminary;1;raster;;;;2
30test;30 Test (Remake);Arcade;;1997;Namco;;1;;;good;0;;;;;
39in1;39 in 1 MAME bootleg;Arcade;;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3
3x3puzzl;3X3 Puzzle (Enterprise);Arcade;;1998;Ace Enterprise;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2
3x3puzzla;3X3 Puzzle (Normal);Arcade;3x3puzzl;1998;Ace Enterprise;;2;0;joystick (8-way),joystick (8-way);good;1;raster;3x3puzzl;;;2
4enraya;4 En Raya (set 1);Arcade;;1990;IDSA;;2;0;joystick (2-way),joystick (2-way);good;1;raster;;;;2
4enrayaa;4 En Raya (set 2);Arcade;4enraya;1990;IDSA;;2;0;joystick (2-way),joystick (2-way);good;1;raster;4enraya;;;2
4in1;4 Fun in 1;Arcade;;1981;Armenia / Food and Fun;;2;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1
4in1a;4 in 1 MAME bootleg (set 1, ver 3.00);Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
4in1b;4 in 1 MAME bootleg (set 2);Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
4dwarrio;4-D Warriors (315-5162);Arcade;;1985;Coreland / Sega;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2
48in1;48 in 1 MAME bootleg (set 1, ver 3.09);Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
48in1b;48 in 1 MAME bootleg (set 2, ver 3.09, alt flash);Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
48in1a;48 in 1 MAME bootleg (set 3, ver 3.02);Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
jantotsu;4nin-uchi Mahjong Jantotsu;Arcade;;1983;Sanritsu;;2;270;mahjong,mahjong;good;1;raster;;;;19
5acespkr;5-Aces Poker;Arcade;;198?;<unknown>;;1;0;;preliminary;1;raster;;;;
500gp;500 GP (5GP3 Ver. C);Arcade;;1998;Namco;;2;0;joystick (vertical2-way),joystick (vertical2-way);preliminary;1;raster;;;;3
60in1;60 in 1 MAME bootleg (ver 3.00);Arcade;39in1;2004;bootleg;;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;;;3
600;600;Arcade;turtles;1981;Konami;;2;90;joystick (4-way),joystick (4-way);good;1;raster;turtles;;;1
64streetj;64th. Street - A Detective Story (Japan, set 1);Arcade;64street;1991;Jaleco;;2;0;joystick (8-way),joystick (8-way);good;1;raster;64street;;;2
64streetja;64th. Street - A Detective Story (Japan, set 2);Arcade;64street;1991;Jaleco;;2;0;joystick (8-way),joystick (8-way);good;1;raster;64street;;;2
64street;64th. Street - A Detective Story (World);Arcade;;1991;Jaleco;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2
