#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - The Living Daylights (Europe);007 - The Living Daylights (Europe);Atari 8-Bit;;1987;Domark;Action;;;;;0;;;;;
1040 Terminator (USA) (Unl);1040 Terminator (USA) (Unl);Atari 8-Bit;;1988;Antic;Action;;;;;0;;;;;
180 (Europe);180 (Europe);Atari 8-Bit;;1986;Mastertronic;Sports/Pool and Dart;;;;;0;;;;;
221B Baker Street (USA) (Disk 1 Side A);221B Baker Street (USA) (Disk 1 Side A);Atari 8-Bit;;1987;Datasoft;Board Games;;;;;0;;;;;
221B Baker Street (USA) (Disk 1 Side B);221B Baker Street (USA) (Disk 1 Side B);Atari 8-Bit;;1987;Datasoft;Board Games;;;;;0;;;;;
221B Baker Street (USA) (Disk 2) (Case Library 1);221B Baker Street (USA) (Disk 2) (Case Library 1);Atari 8-Bit;;1987;Datasoft;Board Games;;;;;0;;;;;
221B Baker Street (USA) (Disk 3) (Case Library 2);221B Baker Street (USA) (Disk 3) (Case Library 2);Atari 8-Bit;;1987;Datasoft;Board Games;;;;;0;;;;;
3-D Noughts & Crosses (Europe);3-D Noughts & Crosses (Europe);Atari 8-Bit;;1984;Ad Astra;Strategy;;;;;0;;;;;
3-D Pac Plus (Germany);3-D Pac Plus (Germany);Atari 8-Bit;;1989;Secret Games;Maze;;;;;0;;;;;
3-D Red Baron (USA);3-D Red Baron (USA);Atari 8-Bit;;1980;Sebree's Computing;Shoot-'Em-Up;;;;;0;;;;;
3-D Tic-Tac-Toe (Adventure International) (USA);3-D Tic-Tac-Toe (Adventure International) (USA);Atari 8-Bit;;1981;Adventure International;Strategy;;;;;0;;;;;
3-D Tic-Tac-Toe (Atari) (USA);3-D Tic-Tac-Toe (Atari) (USA);Atari 8-Bit;;1979;Atari;Strategy;;;;;0;;;;;
3d24 (Poland) (Proto);3d24 (Poland) (Proto);Atari 8-Bit;;1993;LK Avalon;Puzzle;;;;;0;;;;;
747 Flight Simulator (Europe);747 Flight Simulator (Europe);Atari 8-Bit;;1983;DACC;Simulation;;;;;0;;;;;
747 Landing Simulator (USA);747 Landing Simulator (USA);Atari 8-Bit;;1981;APX;Simulation;;;;;0;;;;;
A-E (USA) (Side A);A-E (USA) (Side A);Atari 8-Bit;;1982;Broderbund;Shoot-'Em-Up;;;;;0;;;;;
A-E (USA) (Side B);A-E (USA) (Side B);Atari 8-Bit;;1982;Broderbund;Shoot-'Em-Up;;;;;0;;;;;
A-Zone (Europe);A-Zone (Europe);Atari 8-Bit;;1989;B.Ware Software;Platform;;;;;0;;;;;
AD 2044 (Poland) (Side A);AD 2044 (Poland) (Side A);Atari 8-Bit;;1991;RMP Software;Adventure;;;;;0;;;;;
AD 2044 (Poland) (Side B);AD 2044 (Poland) (Side B);Atari 8-Bit;;1991;RMP Software;Adventure;;;;;0;;;;;
AURA Adventures (Europe) (Unl);AURA Adventures (Europe) (Unl);Atari 8-Bit;;1994;AURA;Adventure;;;;;0;;;;;
Abracadabra! (USA);Abracadabra! (USA);Atari 8-Bit;;1983;TG Software;Action;;;;;0;;;;;
Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 1);Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 1);Atari 8-Bit;;1984;MMG Micro Software;Role-Playing;;;;;0;;;;;
Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 2);Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 2);Atari 8-Bit;;1984;MMG Micro Software;Role-Playing;;;;;0;;;;;
Abuse (USA);Abuse (USA);Atari 8-Bit;;1981;Don't Ask Computer Software;Miscellaneous;;;;;0;;;;;
Accion (Peru) (Unl);Accion (Peru) (Unl);Atari 8-Bit;;2006;-;Shoot-'Em-Up;;;;;0;;;;;
Ace Dribbler and the Roadhogs (Europe) (Unl);Ace Dribbler and the Roadhogs (Europe) (Unl);Atari 8-Bit;;1990;New Atari User;Action;;;;;0;;;;;
Ace of Aces (USA);Ace of Aces (USA);Atari 8-Bit;;1987;Accolade;Simulation;;;;;0;;;;;
Acey-Deucey (USA);Acey-Deucey (USA);Atari 8-Bit;;1982;L&S Computerware;Tabletop;;;;;0;;;;;
Acrobat (Germany);Acrobat (Germany);Atari 8-Bit;;19xx;Münzenloher GmbH;Breakout;;;;;0;;;;;
Action Adventures (USA);Action Adventures (USA);Atari 8-Bit;;1987;Keypunch Software;Action;;;;;0;;;;;
Action Biker (USA);Action Biker (USA);Atari 8-Bit;;1985;Mastertronic;Motorcycle;;;;;0;;;;;
Action Quest (USA);Action Quest (USA);Atari 8-Bit;;1982;JV Software;Puzzle;;;;;0;;;;;
Adax (Poland);Adax (Poland);Atari 8-Bit;;1992;L.K. Avalon;Adventure;;;;;0;;;;;
Advanced Air Traffic Controller (USA);Advanced Air Traffic Controller (USA);Atari 8-Bit;;1981;Creative Computing;Simulation;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Atari 8-Bit;;19xx;Code Masters;Pinball;;;;;0;;;;;
Adventure Creator (USA);Adventure Creator (USA);Atari 8-Bit;;1984;Spinnaker Software;Adventure;;;;;0;;;;;
Adventure Master (USA) (Side A);Adventure Master (USA) (Side A);Atari 8-Bit;;1984;CBS Software;Adventure;;;;;0;;;;;
Adventure Master (USA) (Side B);Adventure Master (USA) (Side B);Atari 8-Bit;;1984;CBS Software;Adventure;;;;;0;;;;;
Adventure No. 01 - Adventureland (USA);Adventure No. 01 - Adventureland (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 02 - Pirate Adventure (USA);Adventure No. 02 - Pirate Adventure (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 03 - Mission Impossible (USA);Adventure No. 03 - Mission Impossible (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 04 - Voodoo Castle (USA);Adventure No. 04 - Voodoo Castle (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 05 - The Count (USA);Adventure No. 05 - The Count (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 06 - Strange Odyssey (USA);Adventure No. 06 - Strange Odyssey (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 07 - Mystery Fun House (USA);Adventure No. 07 - Mystery Fun House (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 08 - Pyramid of Doom (USA);Adventure No. 08 - Pyramid of Doom (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 09 - Ghost Town (USA);Adventure No. 09 - Ghost Town (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 10 - Savage Island - Part I (USA);Adventure No. 10 - Savage Island - Part I (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 11 - Savage Island - Part II (USA);Adventure No. 11 - Savage Island - Part II (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 12 - The Golden Voyage (USA);Adventure No. 12 - The Golden Voyage (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure No. 13 - The Sorcerer of Claymorgue Castle (USA);Adventure No. 13 - The Sorcerer of Claymorgue Castle (USA);Atari 8-Bit;;1981;Adventure International;Adventure;;;;;0;;;;;
Adventure Pack (USA);Adventure Pack (USA);Atari 8-Bit;;19xx;Keypunch Software;Compilation;;;;;0;;;;;
Adventure Quest (USA);Adventure Quest (USA);Atari 8-Bit;;1983;Level 9 Computing;Adventure;;;;;0;;;;;
Adventure Telephone (Europe);Adventure Telephone (Europe);Atari 8-Bit;;1986;Tearsoft;Adventure;;;;;0;;;;;
