#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
$100,000 Pyramid, The (USA);$100,000 Pyramid, The (USA);Commodore 64;;;;;;;;;;;;;;
007 Car Chase (USA);007 Car Chase (USA);Commodore 64;;;;;;;;;;;;;;
1,000 Kung-Fu Maniacs! (Europe) (Unl);1,000 Kung-Fu Maniacs! (Europe) (Unl);Commodore 64;;;;;;;;;;;;;;
10 Pin (Europe);10 Pin (Europe);Commodore 64;;;;;;;;;;;;;;
10... Knockout! (USA);10... Knockout! (USA);Commodore 64;;;;;;;;;;;;;;
100 Meter Dash (USA);100 Meter Dash (USA);Commodore 64;;;;;;;;;;;;;;
1000 Miglia Volume I - 1927-1933 (Italy);1000 Miglia Volume I - 1927-1933 (Italy);Commodore 64;;;;;;;;;;;;;;
10000 Meters (USA) (Unl);10000 Meters (USA) (Unl);Commodore 64;;;;;;;;;;;;;;
10th Frame (USA);10th Frame (USA);Commodore 64;;;;;;;;;;;;;;
180 (Europe);180 (Europe);Commodore 64;;;;;;;;;;;;;;
19 Part One - Boot Camp (Europe);19 Part One - Boot Camp (Europe);Commodore 64;;;;;;;;;;;;;;
1942 (Europe);1942 (Europe);Commodore 64;;;;;;;;;;;;;;
1943 - One Year After (Sweden);1943 - One Year After (Sweden);Commodore 64;;;;;;;;;;;;;;
1943 - The Battle of Midway (USA);1943 - The Battle of Midway (USA);Commodore 64;;;;;;;;;;;;;;
1985 - The Day After (Europe);1985 - The Day After (Europe);Commodore 64;;;;;;;;;;;;;;
1991 World Cup Knockout, The (Europe);1991 World Cup Knockout, The (Europe);Commodore 64;;;;;;;;;;;;;;
1994 - Ten Years After (Europe);1994 - Ten Years After (Europe);Commodore 64;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 1);221B Baker Street (USA) (Disk 1);Commodore 64;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 2) (Case Disk 1);221B Baker Street (USA) (Disk 2) (Case Disk 1);Commodore 64;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 3) (Case Disk 2);221B Baker Street (USA) (Disk 3) (Case Disk 2);Commodore 64;;;;;;;;;;;;;;
2D Tennis Game (Europe);2D Tennis Game (Europe);Commodore 64;;;;;;;;;;;;;;
2K-Fighter (Germany);2K-Fighter (Germany);Commodore 64;;;;;;;;;;;;;;
3 in 1 College & Pro Football (USA) (Disk 1);3 in 1 College & Pro Football (USA) (Disk 1);Commodore 64;;;;;;;;;;;;;;
3 in 1 College & Pro Football (USA) (Disk 2) (Utilities);3 in 1 College & Pro Football (USA) (Disk 2) (Utilities);Commodore 64;;;;;;;;;;;;;;
3 in 1 College & Pro Football (USA) (Disk 3) (Standings);3 in 1 College & Pro Football (USA) (Disk 3) (Standings);Commodore 64;;;;;;;;;;;;;;
3 in 1 College & Pro Football (USA) (Disk 4) (Current Teams);3 in 1 College & Pro Football (USA) (Disk 4) (Current Teams);Commodore 64;;;;;;;;;;;;;;
3 in 1 College & Pro Football (USA) (Disk 5) (College Past);3 in 1 College & Pro Football (USA) (Disk 5) (College Past);Commodore 64;;;;;;;;;;;;;;
3 in 1 College & Pro Football (USA) (Disk 6) (Pro Past);3 in 1 College & Pro Football (USA) (Disk 6) (Pro Past);Commodore 64;;;;;;;;;;;;;;
3-D Glooper (Europe);3-D Glooper (Europe);Commodore 64;;;;;;;;;;;;;;
3-D Man (USA);3-D Man (USA);Commodore 64;;;;;;;;;;;;;;
3-D Pinball - Pinball Power (Europe);3-D Pinball - Pinball Power (Europe);Commodore 64;;;;;;;;;;;;;;
3-D Skramble (Europe);3-D Skramble (Europe);Commodore 64;;;;;;;;;;;;;;
3-D Tic Tac Toe (USA);3-D Tic Tac Toe (USA);Commodore 64;;;;;;;;;;;;;;
3D Construction Kit (Europe);3D Construction Kit (Europe);Commodore 64;;;;;;;;;;;;;;
3D Golf (Europe);3D Golf (Europe);Commodore 64;;;;;;;;;;;;;;
3D Pool (Europe);3D Pool (Europe);Commodore 64;;;;;;;;;;;;;;
3D Scacchi Simulator (Italy);3D Scacchi Simulator (Italy);Commodore 64;;;;;;;;;;;;;;
3D Speed Duel (Europe);3D Speed Duel (Europe);Commodore 64;;;;;;;;;;;;;;
3D Stock Cars II (Europe);3D Stock Cars II (Europe);Commodore 64;;;;;;;;;;;;;;
3D Tanx (Europe);3D Tanx (Europe);Commodore 64;;;;;;;;;;;;;;
3D Tic Tac Toe (Netherlands);3D Tic Tac Toe (Netherlands);Commodore 64;;;;;;;;;;;;;;
3D Time Trek (Europe);3D Time Trek (Europe);Commodore 64;;;;;;;;;;;;;;
3D Tunnel (Europe);3D Tunnel (Europe);Commodore 64;;;;;;;;;;;;;;
3D-Beee (Europe);3D-Beee (Europe);Commodore 64;;;;;;;;;;;;;;
4 Fathoms (USA);4 Fathoms (USA);Commodore 64;;;;;;;;;;;;;;
4 Soccer Simulators (Europe);4 Soccer Simulators (Europe);Commodore 64;;;;;;;;;;;;;;
4. Times Revlex (Germany);4. Times Revlex (Germany);Commodore 64;;;;;;;;;;;;;;
4th & Inches (USA);4th & Inches (USA);Commodore 64;;;;;;;;;;;;;;
4x4 Off-Road Racing (USA) (Disk 1);4x4 Off-Road Racing (USA) (Disk 1);Commodore 64;;;;;;;;;;;;;;
4x4 Off-Road Racing (USA) (Disk 2);4x4 Off-Road Racing (USA) (Disk 2);Commodore 64;;;;;;;;;;;;;;
5-Pin Bowling (Europe);5-Pin Bowling (Europe);Commodore 64;;;;;;;;;;;;;;
500cc Grand Prix (France);500cc Grand Prix (France);Commodore 64;;;;;;;;;;;;;;
500cc. Motomanager (Italy) (Disk 1);500cc. Motomanager (Italy) (Disk 1);Commodore 64;;;;;;;;;;;;;;
500cc. Motomanager (Italy) (Disk 2);500cc. Motomanager (Italy) (Disk 2);Commodore 64;;;;;;;;;;;;;;
5th Gear (Europe);5th Gear (Europe);Commodore 64;;;;;;;;;;;;;;
64 Mastermind - A Game of Logic (Europe);64 Mastermind - A Game of Logic (Europe);Commodore 64;;;;;;;;;;;;;;
64luff (USA);64luff (USA);Commodore 64;;;;;;;;;;;;;;
720 Degrees (USA);720 Degrees (USA);Commodore 64;;;;;;;;;;;;;;
747 (USA);747 (USA);Commodore 64;;;;;;;;;;;;;;
747 Flight Simulator (Europe);747 Flight Simulator (Europe);Commodore 64;;;;;;;;;;;;;;
9 to 5 Typing (USA);9 to 5 Typing (USA);Commodore 64;;;;;;;;;;;;;;
911 Tiger Shark (Europe);911 Tiger Shark (Europe);Commodore 64;;;;;;;;;;;;;;
A-Boulder 64 (Europe);A-Boulder 64 (Europe);Commodore 64;;;;;;;;;;;;;;
A-Team, The (Netherlands);A-Team, The (Netherlands);Commodore 64;;;;;;;;;;;;;;
ABC Caterpillar (USA);ABC Caterpillar (USA);Commodore 64;;;;;;;;;;;;;;
ACE - Air Combat Emulator (Europe);ACE - Air Combat Emulator (Europe);Commodore 64;;;;;;;;;;;;;;
ACOS - Advanced Cassette Operating System (Europe);ACOS - Advanced Cassette Operating System (Europe);Commodore 64;;;;;;;;;;;;;;
AFL Boulder Dash (USA) (Unl);AFL Boulder Dash (USA) (Unl);Commodore 64;;;;;;;;;;;;;;
AGTMNS - A Game That Makes No Sense (Europe) (Unl);AGTMNS - A Game That Makes No Sense (Europe) (Unl);Commodore 64;;;;;;;;;;;;;;
ALCON (USA);ALCON (USA);Commodore 64;;;;;;;;;;;;;;
AMC - Astro Marine Corps (Spain);AMC - Astro Marine Corps (Spain);Commodore 64;;;;;;;;;;;;;;
AMC - Attack of the Mutant Camels (HesWare) (USA);AMC - Attack of the Mutant Camels (HesWare) (USA);Commodore 64;;;;;;;;;;;;;;
AMC - Attack of the Mutant Camels (Llamasoft) (Europe);AMC - Attack of the Mutant Camels (Llamasoft) (Europe);Commodore 64;;;;;;;;;;;;;;
APB - All Points Bulletin (Europe);APB - All Points Bulletin (Europe);Commodore 64;;;;;;;;;;;;;;
ASK - The Real You (USA);ASK - The Real You (USA);Commodore 64;;;;;;;;;;;;;;
ATA (USA) (Unl);ATA (USA) (Unl);Commodore 64;;;;;;;;;;;;;;
ATF - Advanced Tactical Fighter (Europe);ATF - Advanced Tactical Fighter (Europe);Commodore 64;;;;;;;;;;;;;;
ATG - All Terrain Gardener (Europe);ATG - All Terrain Gardener (Europe);Commodore 64;;;;;;;;;;;;;;
ATV - All Terrain Vehicle Simulator (Europe);ATV - All Terrain Vehicle Simulator (Europe);Commodore 64;;;;;;;;;;;;;;
Aaargh! (Europe);Aaargh! (Europe);Commodore 64;;;;;;;;;;;;;;
Aaargh! Condor (USA);Aaargh! Condor (USA);Commodore 64;;;;;;;;;;;;;;
Aardvark (Europe);Aardvark (Europe);Commodore 64;;;;;;;;;;;;;;
Aargh Krakout (USA) (Unl);Aargh Krakout (USA) (Unl);Commodore 64;;;;;;;;;;;;;;
Abhor (Europe) (Unl);Abhor (Europe) (Unl);Commodore 64;;;;;;;;;;;;;;
Abnormal Faction (USA) (Unl);Abnormal Faction (USA) (Unl);Commodore 64;;;;;;;;;;;;;;
Abrasco Golf (Europe);Abrasco Golf (Europe);Commodore 64;;;;;;;;;;;;;;
Accolade Comics - Steve Keene, Private Spy (USA) (Disk 1 Side A);Accolade Comics - Steve Keene, Private Spy (USA) (Disk 1 Side A);Commodore 64;;;;;;;;;;;;;;
Accolade Comics - Steve Keene, Private Spy (USA) (Disk 1 Side B);Accolade Comics - Steve Keene, Private Spy (USA) (Disk 1 Side B);Commodore 64;;;;;;;;;;;;;;
Accolade Comics - Steve Keene, Private Spy (USA) (Disk 2 Side A);Accolade Comics - Steve Keene, Private Spy (USA) (Disk 2 Side A);Commodore 64;;;;;;;;;;;;;;
Accolade Comics - Steve Keene, Private Spy (USA) (Disk 2 Side B);Accolade Comics - Steve Keene, Private Spy (USA) (Disk 2 Side B);Commodore 64;;;;;;;;;;;;;;
Accolade Comics - Steve Keene, Private Spy (USA) (Disk 3 Side A);Accolade Comics - Steve Keene, Private Spy (USA) (Disk 3 Side A);Commodore 64;;;;;;;;;;;;;;
Accolade Comics - Steve Keene, Private Spy (USA) (Disk 3 Side B);Accolade Comics - Steve Keene, Private Spy (USA) (Disk 3 Side B);Commodore 64;;;;;;;;;;;;;;
Accumulator (USA) (Unl);Accumulator (USA) (Unl);Commodore 64;;;;;;;;;;;;;;
