#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3D Lunattack (Hewson Consultants);3D Lunattack (Hewson Consultants);Data Dragon 32;;;;;;;;;0;;;;;
4D Romik Cube (D.M.Stewart);4D Romik Cube (D.M.Stewart);Data Dragon 32;;;;;;;;;0;;;;;
6809 Editor Assembler (M.J.Kerry);6809 Editor Assembler (M.J.Kerry);Data Dragon 32;;;;;;;;;0;;;;;
6809 Express;6809 Express;Data Dragon 32;;;;;;;;;0;;;;;
747 Flight Simulator (DACC Ltd);747 Flight Simulator (DACC Ltd);Data Dragon 32;;;;;;;;;0;;;;;
8 Ball Pool (Microdeal Software);8 Ball Pool (Microdeal Software);Data Dragon 32;;;;;;;;;0;;;;;
Adventure 2 - Jerusalem (Microdeal Software);Adventure 2 - Jerusalem (Microdeal Software);Data Dragon 32;;;;;;;;;0;;;;;
Adventure 2000 (C.J.Coombs);Adventure 2000 (C.J.Coombs);Data Dragon 32;;;;;;;;;0;;;;;
Adventure 3 - Williamsburg (Microdeal Software);Adventure 3 - Williamsburg (Microdeal Software);Data Dragon 32;;;;;;;;;0;;;;;
Adventure 4 - Ultimate (Microdeal Software);Adventure 4 - Ultimate (Microdeal Software);Data Dragon 32;;;;;;;;;0;;;;;
Adventure Writer - Extended (Cowen Software);Adventure Writer - Extended (Cowen Software);Data Dragon 32;;;;;;;;;0;;;;;
Adventure Writer - Original (Twom Software);Adventure Writer - Original (Twom Software);Data Dragon 32;;;;;;;;;0;;;;;
Adventureland (Scott Adams);Adventureland (Scott Adams);Data Dragon 32;;;;;;;;;0;;;;;
Air Assault (Datacom Publications);Air Assault (Datacom Publications);Data Dragon 32;;;;;;;;;0;;;;;
Airball (Microdeal Software);Airball (Microdeal Software);Data Dragon 32;;;;;;;;;0;;;;;
Alcatraz;Alcatraz;Data Dragon 32;;;;;;;;;0;;;;;
Alien (Paul Stanley);Alien (Paul Stanley);Data Dragon 32;;;;;;;;;0;;;;;
Amazing (Bamby Software);Amazing (Bamby Software);Data Dragon 32;;;;;;;;;0;;;;;
Anagram Solver;Anagram Solver;Data Dragon 32;;;;;;;;;0;;;;;
And All Because (B & H Software);And All Because (B & H Software);Data Dragon 32;;;;;;;;;0;;;;;
