#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Alien Invasion (USA);Alien Invasion (USA);Fairchild Channel F;;1979;Zircon;Shooter;;;;;0;;;;;
Backgammon + Acey-Deucey (USA);Backgammon + Acey-Deucey (USA);Fairchild Channel F;;1977;Fairchild;Card Battle;;;;;0;;;;;
Backgammon, Acey-Deucey (USA);Backgammon, Acey-Deucey (USA);Fairchild Channel F;;;;;;;;;;;;;;
Baseball (USA);Baseball (USA);Fairchild Channel F;;1977;Fairchild;Sports/Baseball;;;;;0;;;;;
Bowling (USA);Bowling (USA);Fairchild Channel F;;1978;Fairchild;Sports/Bowling;;;;;0;;;;;
Casino Poker (USA);Casino Poker (USA);Fairchild Channel F;;1979;Zircon;Casino;;;;;0;;;;;
Checkers (USA);Checkers (USA);Fairchild Channel F;;1978;Zircon;Board Games;;;;;0;;;;;
Demonstration Cartridge (USA);Demonstration Cartridge (USA);Fairchild Channel F;;1977;Fairchild;Miscellaneous;;;;;0;;;;;
Demonstration Cartridge 2 (USA);Demonstration Cartridge 2 (USA);Fairchild Channel F;;1977;Fairchild;Miscellaneous;;;;;0;;;;;
Desert Fox + Shooting Gallery (USA);Desert Fox + Shooting Gallery (USA);Fairchild Channel F;;1976;Zircon;Shooter;;;;;0;;;;;
Desert Fox, Shooting Gallery (USA);Desert Fox, Shooting Gallery (USA);Fairchild Channel F;;;;;;;;;;;;;;
Dodge It (USA);Dodge It (USA);Fairchild Channel F;;1978;Fairchild;Action;;;;;0;;;;;
Drag Strip (USA);Drag Strip (USA);Fairchild Channel F;;1977;Fairchild;Driving;;;;;0;;;;;
Galactic Space Wars (USA);Galactic Space Wars (USA);Fairchild Channel F;;1990;Zircon;Shooter;;;;;0;;;;;
Galactic Space Wars, Lunar Lander (USA);Galactic Space Wars, Lunar Lander (USA);Fairchild Channel F;;;;;;;;;;;;;;
Hangman (USA);Hangman (USA);Fairchild Channel F;;1978;Fairchild;Puzzle;;;;;0;;;;;
Hockey & Tennis (USA);Hockey & Tennis (USA);Fairchild Channel F;;;;;;;;;;;;;;
Hockey + Tennis (USA);Hockey + Tennis (USA);Fairchild Channel F;;1976;Fairchild;Sports;;;;;0;;;;;
Lights Out (USA);Lights Out (USA);Fairchild Channel F;;;;;;;;;;;;;;
