#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;Final Burn Alpha;;1988;Konami;Sports / Track & Field;4P alt / 2P sim;;;;0;;;;;
flagrall;'96 Flag Rally;Final Burn Alpha;;1996;unknown;Maze / Driving;1P;;;;0;;;;;
99lstwark;'99: The Last War (Kyugo);Final Burn Alpha;repulse;1985;Crux / Kyugo;Shooter / Gallery;2P alt;;;;0;;repulse;;;
99lstwarb;'99: The Last War (bootleg) [Bad colors in some scenes];Final Burn Alpha;repulse;1985;bootleg;Shooter / Gallery;2P alt;;;;0;;repulse;;;
99lstwar;'99: The Last War (set 1);Final Burn Alpha;repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;;;;0;;repulse;;;
99lstwara;'99: The Last War (set 2);Final Burn Alpha;repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;;;;0;;repulse;;;
10yard85;10-Yard Fight '85 (US, Taito license);Final Burn Alpha;10yard;1985;Irem (Taito license);Sports / Amer. Football;2P alt;;;;0;;10yard;;;
10yardj;10-Yard Fight (Japan);Final Burn Alpha;10yard;1983;Irem;Sports / Amer. Football;2P alt;;;;0;;10yard;;;
10yard;10-Yard Fight (World, set 1);Final Burn Alpha;;1983;Irem;Sports / Amer. Football;2P alt;;;;0;;;;;
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);Final Burn Alpha;gtmr;1994;Kaneko;Driving / Race;2P alt;;;;0;;gtmr;;;
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);Final Burn Alpha;gtmr;1994;Kaneko;Driving / Race;2P alt;;;;0;;gtmr;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Final Burn Alpha;gtmr;1994;Kaneko;Driving / Race;2P alt;;;;0;;gtmr;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;Driving / Race;2P alt;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette) (Japan);Final Burn Alpha;cprogolf;1982;Data East Corporation;Sports / Golf;2P alt;;;;0;;cprogolf;;;
progolf;18 Holes Pro Golf (set 1);Final Burn Alpha;;1981;Data East Corporation;Sports / Golf;2P alt;;;;0;;;;;
1941u;1941 - Counter Attack (900227 USA);Final Burn Alpha;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;1941;;;
1941;1941 - Counter Attack (900227 World);Final Burn Alpha;;1990;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;;;;
1941j;1941 - Counter Attack (Japan);Final Burn Alpha;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;1941;;;
