#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME (2016);;1988;Konami;;;;;good;0;;;;;
flagrall;'96 Flag Rally;MAME (2016);;1996;Promat?;;;;;good;0;;;;;
99lstwark;'99: The Last War (Kyugo);MAME (2016);repulse;1985;Crux / Kyugo;;;;;good;0;;repulse;;;
99lstwar;'99: The Last War (set 1);MAME (2016);repulse;1985;Crux / Proma;;;;;good;0;;repulse;;;
99lstwara;'99: The Last War (set 2);MAME (2016);repulse;1985;Crux / Proma;;;;;good;0;;repulse;;;
pr_lday;'L' Of A Day (Project) (Cash set) (PROCONN);MAME (2016);;199?;Project;;;;;preliminary;0;;;;mechanical;
pr_ldaya;'L' Of A Day (Project) (Token set) (PROCONN);MAME (2016);pr_lday;199?;Project;;;;;preliminary;0;;pr_lday;;mechanical;
005;005;MAME (2016);;1981;Sega;;;;;imperfect;0;;;;;
1on1gov;1 on 1 Government (Japan);MAME (2016);;2000;Tecmo;;;;;imperfect;0;;tps;;;
m4tenten;10 X 10 (Barcrest) (MPU4) (set 1);MAME (2016);;199?;Barcrest;;;;;preliminary;0;;;;mechanical;
m4tenten__i;10 X 10 (Barcrest) (MPU4) (set 10);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__j;10 X 10 (Barcrest) (MPU4) (set 11);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__k;10 X 10 (Barcrest) (MPU4) (set 12);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__l;10 X 10 (Barcrest) (MPU4) (set 13);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__m;10 X 10 (Barcrest) (MPU4) (set 14);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__n;10 X 10 (Barcrest) (MPU4) (set 15);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__o;10 X 10 (Barcrest) (MPU4) (set 16);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__p;10 X 10 (Barcrest) (MPU4) (set 17);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__q;10 X 10 (Barcrest) (MPU4) (set 18);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__r;10 X 10 (Barcrest) (MPU4) (set 19);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__a;10 X 10 (Barcrest) (MPU4) (set 2);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__s;10 X 10 (Barcrest) (MPU4) (set 20);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__t;10 X 10 (Barcrest) (MPU4) (set 21);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__u;10 X 10 (Barcrest) (MPU4) (set 22);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__v;10 X 10 (Barcrest) (MPU4) (set 23);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__w;10 X 10 (Barcrest) (MPU4) (set 24);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__x;10 X 10 (Barcrest) (MPU4) (set 25);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__y;10 X 10 (Barcrest) (MPU4) (set 26);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__z;10 X 10 (Barcrest) (MPU4) (set 27);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__0;10 X 10 (Barcrest) (MPU4) (set 28);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__1;10 X 10 (Barcrest) (MPU4) (set 29);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__b;10 X 10 (Barcrest) (MPU4) (set 3);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__2;10 X 10 (Barcrest) (MPU4) (set 30);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__3;10 X 10 (Barcrest) (MPU4) (set 31);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__4;10 X 10 (Barcrest) (MPU4) (set 32);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__5;10 X 10 (Barcrest) (MPU4) (set 33);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__6;10 X 10 (Barcrest) (MPU4) (set 34);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__7;10 X 10 (Barcrest) (MPU4) (set 35);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__8;10 X 10 (Barcrest) (MPU4) (set 36);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__9;10 X 10 (Barcrest) (MPU4) (set 37);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__aa;10 X 10 (Barcrest) (MPU4) (set 38);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ab;10 X 10 (Barcrest) (MPU4) (set 39);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__c;10 X 10 (Barcrest) (MPU4) (set 4);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ac;10 X 10 (Barcrest) (MPU4) (set 40);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ad;10 X 10 (Barcrest) (MPU4) (set 41);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ae;10 X 10 (Barcrest) (MPU4) (set 42);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__af;10 X 10 (Barcrest) (MPU4) (set 43);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ag;10 X 10 (Barcrest) (MPU4) (set 44);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ah;10 X 10 (Barcrest) (MPU4) (set 45);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ai;10 X 10 (Barcrest) (MPU4) (set 46);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__aj;10 X 10 (Barcrest) (MPU4) (set 47);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ak;10 X 10 (Barcrest) (MPU4) (set 48);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__al;10 X 10 (Barcrest) (MPU4) (set 49);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__d;10 X 10 (Barcrest) (MPU4) (set 5);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__am;10 X 10 (Barcrest) (MPU4) (set 50);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__an;10 X 10 (Barcrest) (MPU4) (set 51);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ao;10 X 10 (Barcrest) (MPU4) (set 52);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ap;10 X 10 (Barcrest) (MPU4) (set 53);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__aq;10 X 10 (Barcrest) (MPU4) (set 54);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ar;10 X 10 (Barcrest) (MPU4) (set 55);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__as;10 X 10 (Barcrest) (MPU4) (set 56);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__at;10 X 10 (Barcrest) (MPU4) (set 57);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__au;10 X 10 (Barcrest) (MPU4) (set 58);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__av;10 X 10 (Barcrest) (MPU4) (set 59);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__e;10 X 10 (Barcrest) (MPU4) (set 6);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__aw;10 X 10 (Barcrest) (MPU4) (set 60);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ax;10 X 10 (Barcrest) (MPU4) (set 61);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__ay;10 X 10 (Barcrest) (MPU4) (set 62);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__az;10 X 10 (Barcrest) (MPU4) (set 63);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__a0;10 X 10 (Barcrest) (MPU4) (set 64);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__a1;10 X 10 (Barcrest) (MPU4) (set 65);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__a2;10 X 10 (Barcrest) (MPU4) (set 66);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__f;10 X 10 (Barcrest) (MPU4) (set 7);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__g;10 X 10 (Barcrest) (MPU4) (set 8);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
m4tenten__h;10 X 10 (Barcrest) (MPU4) (set 9);MAME (2016);m4tenten;199?;Barcrest;;;;;preliminary;0;;m4tenten;;mechanical;
10yard85;10-Yard Fight '85 (US, Taito license);MAME (2016);10yard;1985;Irem (Taito license);;;;;good;0;;10yard;;;
10yardj;10-Yard Fight (Japan);MAME (2016);10yard;1983;Irem;;;;;good;0;;10yard;;;
10yard;10-Yard Fight (World, set 1);MAME (2016);;1983;Irem;;;;;good;0;;;;;
100lions;100 Lions (10219211, NSW/ACT);MAME (2016);;200?;Aristocrat;;;;;preliminary;0;;aristmk6;;;
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);MAME (2016);gtmr;1994;Kaneko;;;;;good;0;;gtmr;;;
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);MAME (2016);gtmr;1994;Kaneko;;;;;good;0;;gtmr;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);MAME (2016);gtmr;1994;Kaneko;;;;;good;0;;gtmr;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);MAME (2016);;1994;Kaneko;;;;;good;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (2016);cprogolf;1982;Data East Corporation;;;;;good;0;;cprogolf;;;
progolf;18 Holes Pro Golf (set 1);MAME (2016);;1981;Data East Corporation;;;;;imperfect;0;;;;;
progolfa;18 Holes Pro Golf (set 2);MAME (2016);progolf;1981;Data East Corporation;;;;;preliminary;0;;progolf;;;
18wheelr;18 Wheeler (deluxe) (Rev A);MAME (2016);;2000;Sega;;;;;preliminary;0;;naomi;;;
18w;18 Wheeler (set 1);MAME (2016);;1979;Midway;;;;;preliminary;0;;;;mechanical;
18w2;18 Wheeler (set 2);MAME (2016);18w;1979;Midway;;;;;preliminary;0;;18w;;mechanical;
18wheels;18 Wheeler (standard);MAME (2016);18wheelr;2000;Sega;;;;;preliminary;0;;18wheelr;;;
18wheelu;18 Wheeler (upright);MAME (2016);18wheelr;2000;Sega;;;;;preliminary;0;;18wheelr;;;
19in1;19 in 1 MAME bootleg;MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
1941j;1941: Counter Attack (Japan);MAME (2016);1941;1990;Capcom;;;;;good;0;;1941;;;
1941u;1941: Counter Attack (USA 900227);MAME (2016);1941;1990;Capcom;;;;;good;0;;1941;;;
1941;1941: Counter Attack (World 900227);MAME (2016);;1990;Capcom;;;;;good;0;;;;;
1941r1;1941: Counter Attack (World);MAME (2016);1941;1990;Capcom;;;;;good;0;;1941;;;
1942b;1942 (First Version);MAME (2016);1942;1984;Capcom;;;;;good;0;;1942;;;
pc_1942;1942 (PlayChoice-10);MAME (2016);;1987;Capcom;;;;;imperfect;0;;playch10;;;
1942a;1942 (Revision A);MAME (2016);1942;1984;Capcom;;;;;good;0;;1942;;;
1942abl;1942 (Revision A, bootleg);MAME (2016);1942;1984;bootleg;;;;;good;0;;1942;;;
1942;1942 (Revision B);MAME (2016);;1984;Capcom;;;;;good;0;;;;;
1942p;1942 (Tecfri PCB, bootleg?);MAME (2016);1942;1984;bootleg;;;;;good;0;;1942;;;
1942w;1942 (Williams Electronics license);MAME (2016);1942;1985;Capcom (Williams Electronics license);;;;;good;0;;1942;;;
1943kai;1943 Kai: Midway Kaisen (Japan);MAME (2016);;1987;Capcom;;;;;good;0;;;;;
1943b;1943: Battle of Midway (bootleg, hack of Japan set);MAME (2016);1943;1987;bootleg;;;;;good;0;;1943;;;
1943ja;1943: Midway Kaisen (Japan);MAME (2016);1943;1987;Capcom;;;;;good;0;;1943;;;
1943j;1943: Midway Kaisen (Japan, Rev B);MAME (2016);1943;1987;Capcom;;;;;good;0;;1943;;;
1943bj;1943: Midway Kaisen (bootleg);MAME (2016);1943;1987;bootleg;;;;;good;0;;1943;;;
1943;1943: The Battle of Midway (Euro);MAME (2016);;1987;Capcom;;;;;good;0;;;;;
1943ua;1943: The Battle of Midway (US);MAME (2016);1943;1987;Capcom;;;;;good;0;;1943;;;
1943u;1943: The Battle of Midway (US, Rev C);MAME (2016);1943;1987;Capcom;;;;;good;0;;1943;;;
1944j;1944: The Loop Master (Japan 000620);MAME (2016);1944;2000;Eighting / Raizing (Capcom license);;;;;good;0;;1944;;;
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);MAME (2016);1944;2000;bootleg;;;;;good;0;;1944;;;
1944;1944: The Loop Master (USA 000620);MAME (2016);;2000;Eighting / Raizing (Capcom license);;;;;good;0;;;;;
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);MAME (2016);bgaregga;1996;bootleg;;;;;good;0;;bgaregga;;;
1945kiii;1945k III (newer, OPCX2 PCB);MAME (2016);;2000;Oriental Soft;;;;;good;0;;;;;
1945kiiio;1945k III (older, OPCX1 PCB);MAME (2016);1945kiii;1999;Oriental Soft;;;;;good;0;;1945kiii;;;
spikes91;1991 Spikes (Italian bootleg, set 1);MAME (2016);pspikes;1991;bootleg;;;;;preliminary;0;;pspikes;;;
spikes91b;1991 Spikes (Italian bootleg, set 2);MAME (2016);pspikes;1991;bootleg;;;;;preliminary;0;;pspikes;;;
19xxar1;19XX: The War Against Destiny (Asia 951207);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxa;19XX: The War Against Destiny (Asia 960104);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxb;19XX: The War Against Destiny (Brazil 951218);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxh;19XX: The War Against Destiny (Hispanic 951218);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxjr2;19XX: The War Against Destiny (Japan 951207);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxjr1;19XX: The War Against Destiny (Japan 951225);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);MAME (2016);19xx;1996;Capcom;;;;;good;0;;19xx;;;
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);MAME (2016);19xx;1996;bootleg;;;;;good;0;;19xx;;;
19xx;19XX: The War Against Destiny (USA 951207);MAME (2016);;1996;Capcom;;;;;good;0;;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);MAME (2016);;1995;Midway;;;;;good;0;;;;;
2spicy;2 Spicy;MAME (2016);;2007;Sega;;;;;preliminary;0;;lindbios;;chd;
2020bb;2020 Super Baseball (set 1);MAME (2016);;1991;SNK / Pallas;;;;;good;0;;neogeo;;;
2020bba;2020 Super Baseball (set 2);MAME (2016);2020bb;1991;SNK / Pallas;;;;;good;0;;2020bb;;;
2020bbh;2020 Super Baseball (set 3);MAME (2016);2020bb;1991;SNK / Pallas;;;;;good;0;;2020bb;;;
m21;21 (Mirco);MAME (2016);hitme;1976;Mirco Games;;;;;good;0;;hitme;;;
m421club;21 Club (Barcrest) [DTW, Dutch] (MPU4);MAME (2016);;199?;Barcrest;;;;;preliminary;0;;;;mechanical;
24_130;24 v1.30;MAME (2016);24_150;2009;Stern;;;;;preliminary;0;;24_150;;mechanical;
24_140;24 v1.40;MAME (2016);24_150;2009;Stern;;;;;preliminary;0;;24_150;;mechanical;
24_144;24 v1.44;MAME (2016);24_150;2009;Stern;;;;;preliminary;0;;24_150;;mechanical;
24_150;24 v1.50;MAME (2016);;2009;Stern;;;;;preliminary;0;;;;mechanical;
ep_25crta;25 Carrot Gold (Maygay) (EPOCH) (1.1, set 2);MAME (2016);ep_25crt;2002;Maygay;;;;;preliminary;0;;ep_25crt;;mechanical;
ep_25crt;25 Carrot Gold (Maygay) (EPOCH) (1.2, set 1);MAME (2016);;2002;Maygay;;;;;preliminary;0;;;;mechanical;
ep_25crtb;25 Carrot Gold (Maygay) (EPOCH) (3.1, set 3);MAME (2016);ep_25crt;2002;Maygay;;;;;preliminary;0;;ep_25crt;;mechanical;
ep_25crtc;25 Carrot Gold (Maygay) (EPOCH) (4.1, set 4);MAME (2016);ep_25crt;2003;Maygay;;;;;preliminary;0;;ep_25crt;;mechanical;
ep_25crtd;25 Carrot Gold (Maygay) (EPOCH) (5.1, set 5);MAME (2016);ep_25crt;2003;Maygay;;;;;preliminary;0;;ep_25crt;;mechanical;
ind250cc;250 CC;MAME (2016);;1992;Inder;;;;;preliminary;0;;;;mechanical;
sc5plays;28 Plays Later (Qps) (Scorpion 5) (set 1);MAME (2016);;200?;Qps;;;;;preliminary;0;;;;mechanical;
sc5playsa;28 Plays Later (Qps) (Scorpion 5) (set 2);MAME (2016);sc5plays;200?;Qps;;;;;preliminary;0;;sc5plays;;mechanical;
280zzzap;280-ZZZAP;MAME (2016);;1976;Dave Nutting Associates / Midway;;;;;preliminary;0;;;;;
m4nud2p;2p Nudger (Mdm?) (MPU4);MAME (2016);;199?;Mdm?;;;;;preliminary;0;;;;mechanical;
m42punlm;2p Unlimited (Mdm) (MPU4);MAME (2016);;199?;Mdm;;;;;preliminary;0;;;;mechanical;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);MAME (2016);3bagflvt;1996;Aristocrat;;;;;good;0;;3bagflvt;;;
3bagflvt;3 Bags Full (5VXFC790, Victoria);MAME (2016);;1996;Aristocrat;;;;;good;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);MAME (2016);;1993;SNK;;;;;good;0;;neogeo;;;
3lilpigs;3 Lil' Pigs;MAME (2016);;199?;Doyle & Assoc.;;;;;preliminary;0;;;;mechanical;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);MAME (2016);;1996;Video System Co.;;;;;imperfect;0;;;;;
3super8;3 Super 8 (Italy);MAME (2016);;1993?;<unknown>;;;;;preliminary;0;;;;;
bowl3d;3-D Bowling;MAME (2016);;1978;Meadows Games, Inc.;;;;;preliminary;0;;;;;
30test;30 Test (Remake);MAME (2016);;1997;Namco;;;;;good;0;;;;;
bullseye;301/Bullseye;MAME (2016);;1986;Grand Products;;;;;preliminary;0;;;;mechanical;
39in1;39 in 1 MAME bootleg;MAME (2016);;2004;bootleg;;;;;imperfect;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (2016);;1998;Ace Enterprise;;;;;good;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (2016);3x3puzzl;1998;Ace Enterprise;;;;;good;0;;3x3puzzl;;;
4enraya;4 En Raya (set 1);MAME (2016);;1990;IDSA;;;;;good;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (2016);4enraya;1990;IDSA;;;;;good;0;;4enraya;;;
4in1;4 Fun in 1;MAME (2016);;1981;Armenia / Food and Fun;;;;;imperfect;0;;;;;
sc4ivply;4 Play (Dutch) (Bellfruit) (Scorpion 4);MAME (2016);;200?;BFM;;;;;preliminary;0;;;;;
4in1a;4 in 1 MAME bootleg (set 1, ver 3.00);MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
4in1b;4 in 1 MAME bootleg (set 2);MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
4dwarrio;4-D Warriors (315-5162);MAME (2016);;1985;Coreland / Sega;;;;;good;0;;;;;
48in1;48 in 1 MAME bootleg (set 1, ver 3.09);MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
48in1b;48 in 1 MAME bootleg (set 2, ver 3.09, alt flash);MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
48in1a;48 in 1 MAME bootleg (set 3, ver 3.02);MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
jantotsu;4nin-uchi Mahjong Jantotsu;MAME (2016);;1983;Sanritsu;;;;;good;0;;;;;
fourx4;4x4;MAME (2016);;1982;Atari;;;;;preliminary;0;;;;mechanical;
5draga;5 Dragons (20161011, NSW/ACT);MAME (2016);;200?;Aristocrat;;;;;preliminary;0;;aristmk6;;;
5dragons;5 Dragons (20161011, NSW/ACT, Show Program);MAME (2016);;200?;Aristocrat;;;;;preliminary;0;;aristmk6;;;
davedrag;5 Dragons - Cash Express (0152309, US);MAME (2016);;200?;Aristocrat;;;;;preliminary;0;;aristmk6;;;
5koipp;5 Koi - Power Pay (10250711, NSW/ACT);MAME (2016);;200?;Aristocrat;;;;;preliminary;0;;aristmk6;;;
5acespkr;5-Aces Poker;MAME (2016);;198?;<unknown>;;;;;preliminary;0;;;;;
50lions;50 Lions (10120511, NSW/ACT);MAME (2016);;2002;Aristocrat;;;;;preliminary;0;;aristmk6;;;
50lionsa;50 Lions (10156111, Malaysia);MAME (2016);50lions;2003;Aristocrat;;;;;preliminary;0;;50lions;;;
50lionr;50 Lions - Roaring Riches (20301311, NSW/ACT);MAME (2016);;200?;Aristocrat;;;;;preliminary;0;;aristmk6;;;
500gp;500 GP (5GP3 Ver. C);MAME (2016);;1998;Namco;;;;;preliminary;0;;;;;
j2nud5p;5p Nudger (JPM) (MPS);MAME (2016);;198?;JPM;;;;;preliminary;0;;;;mechanical;
j5fifth;5th Avenue (JPM) (SYSTEM5-SAA);MAME (2016);;199?;JPM;;;;;preliminary;0;;;;mechanical;
j6fifth;5th Dimension (Ace) (IMPACT);MAME (2016);;199?;Ace;;;;;preliminary;0;;;;mechanical;
pr_5xcsh;5x Cash (Project) (PROCONN);MAME (2016);;199?;Project;;;;;preliminary;0;;;;mechanical;
v4sixx;6-X (Bwb) (MPU4 Video);MAME (2016);;199?;BwB;;;;;preliminary;0;;;;;
60in1;60 in 1 MAME bootleg (ver 3.00);MAME (2016);39in1;2004;bootleg;;;;;preliminary;0;;39in1;;;
