#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME Advance;;1988;Konami;Sports / Track & Field;4P alt / 2P sim;;;good;0;;;;;4
99lstwar;'99: The Last War;MAME Advance;sonofphx;1985;Proma;Shooter / Gallery;2P alt;;joy8way;good;0;;sonofphx;;;2
99lstwrk;'99: The Last War (Kyugo);MAME Advance;sonofphx;1985;Kyugo;Shooter / Gallery;2P alt;;joy8way;good;0;;sonofphx;;;2
99lstwra;'99: The Last War (alternate);MAME Advance;sonofphx;1985;Proma;Shooter / Gallery;2P alt;;joy8way;good;0;;sonofphx;;;2
yumefuda;(Medal) Yumefuda [BET];MAME Advance;;;Alba;Tabletop / Hanafuda;1P;;;preliminary;0;;;;;6
005;005;MAME Advance;;1981;Sega;Maze / Shooter Small;2P alt;;joy4way;preliminary;0;;;;;1
yard;10-Yard Fight (Japan);MAME Advance;;1983;Irem;;2;;joy8way;good;0;;;;;2
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);MAME Advance;gtmr;1994;Kaneko;Driving / Race;2P alt;;paddle;good;0;;gtmr;;;2
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);MAME Advance;;1994;Kaneko;Driving / Race;2P alt;;paddle;good;0;;;;;2
1941j;1941 - Counter Attack (Japan);MAME Advance;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;1941;;;2
1941;1941 - Counter Attack (World);MAME Advance;;1990;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
pc_1942;1942 (PlayChoice-10);MAME Advance;;1987;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;imperfect;0;;playch10;;;2
1942;1942 (set 1);MAME Advance;;1984;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;good;0;;;;;2
1942a;1942 (set 2);MAME Advance;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;good;0;;1942;;;2
1942b;1942 (set 3);MAME Advance;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;good;0;;1942;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);MAME Advance;;1987;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
1943j;1943: Midway Kaisen (Japan);MAME Advance;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;1943;;;2
1943;1943: The Battle of Midway (US);MAME Advance;;1987;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
1944j;1944: The Loop Master (Japan 000620);MAME Advance;1944;2000;Capcom, supported by Eighting/Raizing;Shooter / Flying Vertical;2P sim;;joy8way;preliminary;0;;1944;;;2
1944;1944: The Loop Master (US 000620);MAME Advance;;2000;Capcom, supported by Eighting/Raizing;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
1945kiii;1945k III;MAME Advance;;2000;Oriental;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;4
