#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME 2003;;1988;Konami;Sports / Track & Field;4P alt / 2P sim;;;good;0;;;;;4
99lstwar;'99: The Last War;MAME 2003;sonofphx;1985;Proma;Shooter / Gallery;2P alt;;joy8way;good;0;;sonofphx;;;2
99lstwra;'99: The Last War (alternate);MAME 2003;sonofphx;1985;Proma;Shooter / Gallery;2P alt;;joy8way;good;0;;sonofphx;;;2
mmcamera;(Medal) Mahjong Camera Kozou [BET] (Japan 890509);MAME 2003;mjcamera;1989;MIKI SYOUJI;Tabletop / Mahjong * Mature *;1P;;;good;0;;mjcamera;;;
yumefuda;(Medal) Yumefuda;MAME 2003;;;Alba;Tabletop / Hanafuda;1P;;;preliminary;0;;;;;
statriv2;(Status) Triv Two;MAME 2003;;1984;Status Games;Quiz / English;2P alt;;;good;0;;;;;4
005;005;MAME 2003;;1981;Sega;Maze / Shooter Small;2P alt;;joy4way;good;0;;;;;1
yard;10 Yard Fight (Japan);MAME 2003;;1983;Irem;;2;;joy8way;good;0;;;;;2
vsyard2;10 Yard Fight (Vs. version Japan, set 2);MAME 2003;yard;1984;Irem;;2;;joy8way;good;0;;yard;;;2
vsyard;10 Yard Fight (Vs. version World, 11/05/84);MAME 2003;yard;1984;Irem;;2;;joy8way;good;0;;yard;;;2
1941j;1941 - Counter Attack (Japan);MAME 2003;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;1941;;;2
1941;1941 - Counter Attack (World);MAME 2003;;1990;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
1942;1942 (set 1);MAME 2003;;1984;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;good;0;;;;;2
1942a;1942 (set 2);MAME 2003;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;good;0;;1942;;;2
1942b;1942 (set 3);MAME 2003;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;;joy8way;good;0;;1942;;;2
1943j;1943 - The Battle of Midway (Japan);MAME 2003;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;1943;;;2
1943;1943 - The Battle of Midway (US);MAME 2003;;1987;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
1943kai;1943 Kai - Midway Kaisen;MAME 2003;;1987;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
1944j;1944: The Loop Master (Japan 000620);MAME 2003;1944;2000;Capcom, supported by Eighting/Raizing;Shooter / Flying Vertical;2P sim;;joy8way;preliminary;0;;1944;;;2
1944;1944: The Loop Master (US 000620);MAME 2003;;2000;Capcom, supported by Eighting/Raizing;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
19xxa;19XX: The War Against Destiny (Asia 951207);MAME 2003;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;preliminary;0;;19xx;;;2
19xxh;19XX: The War Against Destiny (Hispanic 951218);MAME 2003;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;19xx;;;2
19xxjr1;19XX: The War Against Destiny (Japan 951207);MAME 2003;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;19xx;;;2
19xxj;19XX: The War Against Destiny (Japan 951225);MAME 2003;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;preliminary;0;;19xx;;;2
19xx;19XX: The War Against Destiny (US 951207);MAME 2003;;1996;Capcom;Shooter / Flying Vertical;2P sim;;joy8way;good;0;;;;;2
openice;2 On 2 Open Ice Challenge (rev 1.21);MAME 2003;;1995;Midway;Sports / Hockey;4P sim;;joy8way;good;0;;;;;3
2020bb;2020 Super Baseball (set 1);MAME 2003;;1991;SNK / Pallas;Sports / Baseball;2P sim;;joy8way;good;0;;neogeo;;;4
2020bbh;2020 Super Baseball (set 2);MAME 2003;2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;;joy8way;good;0;;2020bb;;;4
3countb;3 Count Bout / Fire Suplex;MAME 2003;;1993;SNK;Sports / Wrestling;2P sim;;joy8way;good;0;;neogeo;;;4
3in1semi;3-in-1 (SemiCom);MAME 2003;;1997;SemiCom;Multiplay / Compilation;2P sim;;joy8way;preliminary;0;;;;;3
4enraya;4 En Raya;MAME 2003;;1990;IDSA;Puzzle / Match;2P sim;;joy8way;good;0;;;;;2
4in1;4 Fun in 1;MAME 2003;;1981;Armenia / Food and Fun;Multiplay / Compilation;2P alt;;joy8way;good;0;;;;;1
bowler;4 Player Bowling Alley;MAME 2003;;1978;Midway;Sports / Bowling;4P alt;;trackball;good;0;;;;;2
4dwarrio;4-D Warriors;MAME 2003;;1985;Coreland / Sega;Shooter / Flying Horizontal;2P alt;;joy8way;good;0;;;;;2
4in1boot;4-in-1 bootleg;MAME 2003;;;bootleg;Multiplay / Compilation;2P sim;;joy8way;good;0;;;;;3
600;600;MAME 2003;turtles;1981;Konami;Maze;2P alt;;joy8way;good;0;;turtles;;;1
64streej;64th. Street - A Detective Story (Japan);MAME 2003;64street;1991;Jaleco;Fighter / 2.5D;2P sim;;joy8way;good;0;;64street;;;2
64street;64th. Street - A Detective Story (World);MAME 2003;;1991;Jaleco;Fighter / 2.5D;2P sim;;joy8way;good;0;;;;;2
720gr1;720 Degrees (German, rev 1);MAME 2003;720;1986;Atari Games;Sports / Skateboarding;2P alt;;dial;good;0;;720;;;2
720g;720 Degrees (German, rev 2);MAME 2003;720;1986;Atari Games;Sports / Skateboarding;2P alt;;dial;good;0;;720;;;2
720r1;720 Degrees (rev 1);MAME 2003;720;1986;Atari Games;Sports / Skateboarding;2P alt;;dial;good;0;;720;;;2
720r2;720 Degrees (rev 2);MAME 2003;720;1986;Atari Games;Sports / Skateboarding;2P alt;;dial;good;0;;720;;;2
720r3;720 Degrees (rev 3);MAME 2003;720;1986;Atari Games;Sports / Skateboarding;2P alt;;dial;good;0;;720;;;2
