#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME 2010;;1988;Konami;;4;0;;good;1;raster;;;;3
98best44;'98 NeoPri Best 44 (Neo Print);MAME 2010;;1998;SNK;;2;0;joy8way;preliminary;1;raster;;;;4
99lstwar;'99: The Last War;MAME 2010;repulse;1985;Sega (Proma license);;2;90;joy8way;good;1;raster;repulse;;;2
99lstwark;'99: The Last War (Kyugo);MAME 2010;repulse;1985;Sega (Kyugo license);;2;90;joy8way;good;1;raster;repulse;;;2
99lstwara;'99: The Last War (alternate);MAME 2010;repulse;1985;Sega (Proma license);;2;90;joy8way;good;1;raster;repulse;;;2
yumefuda;(Medal) Yumefuda [BET];MAME 2010;;1991;Alba;;1;0;;good;1;raster;;;;
005;005;MAME 2010;;1981;Sega;;2;270;joy4way;imperfect;1;raster;;;;1
1on1gov;1 on 1 Government (Japan);MAME 2010;;2000;Tecmo;;4;0;joy8way;imperfect;1;raster;tps;;;3
10yard85;10-Yard Fight '85 (US, Taito license);MAME 2010;10yard;1985;Irem (Taito license);;2;0;joy8way;good;1;raster;10yard;;;2
10yardj;10-Yard Fight (Japan);MAME 2010;10yard;1983;Irem;;2;0;joy8way;good;1;raster;10yard;;;2
10yard;10-Yard Fight (World, set 1);MAME 2010;;1983;Irem;;2;0;joy8way;good;1;raster;;;;2
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);MAME 2010;gtmr;1994;Kaneko;;2;0;joy8way,dial,paddle;good;1;raster;gtmr;;;2
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);MAME 2010;;1994;Kaneko;;2;0;joy8way,dial,paddle;good;1;raster;;;;2
progolf;18 Holes Pro Golf (set 1);MAME 2010;;1981;Data East Corporation;;2;270;joy8way;imperfect;1;raster;;;;1
progolfa;18 Holes Pro Golf (set 2);MAME 2010;progolf;1981;Data East Corporation;;2;270;joy8way;preliminary;1;raster;progolf;;;1
18wheelr;18 Wheeler (JPN);MAME 2010;;2000;Sega;;2;0;joy8way;preliminary;1;raster;naomi;;;6
1941j;1941: Counter Attack (Japan);MAME 2010;1941;1990;Capcom;;2;270;joy8way;good;1;raster;1941;;;2
1941;1941: Counter Attack (World);MAME 2010;;1990;Capcom;;2;270;joy8way;good;1;raster;;;;2
1942b;1942 (First Version);MAME 2010;1942;1984;Capcom;;2;270;joy8way;good;1;raster;1942;;;2
pc_1942;1942 (PlayChoice-10);MAME 2010;;1987;Capcom;;2;0;joy8way;imperfect;2;raster;playch10;;;2
1942a;1942 (Revision A);MAME 2010;1942;1984;Capcom;;2;270;joy8way;good;1;raster;1942;;;2
1942abl;1942 (Revision A, bootleg);MAME 2010;1942;1984;bootleg;;2;270;joy8way;good;1;raster;1942;;;2
1942;1942 (Revision B);MAME 2010;;1984;Capcom;;2;270;joy8way;good;1;raster;;;;2
1942w;1942 (Williams Electronics license);MAME 2010;1942;1985;Capcom (Williams Electronics license);;2;270;joy8way;good;1;raster;1942;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);MAME 2010;;1987;Capcom;;2;270;joy8way;good;1;raster;;;;2
1943j;1943: Midway Kaisen (Japan);MAME 2010;1943;1987;Capcom;;2;270;joy8way;good;1;raster;1943;;;2
1943;1943: The Battle of Midway (Euro);MAME 2010;;1987;Capcom;;2;270;joy8way;good;1;raster;;;;2
1943u;1943: The Battle of Midway (US);MAME 2010;1943;1987;Capcom;;2;270;joy8way;good;1;raster;1943;;;2
1944j;1944: The Loop Master (Japan 000620);MAME 2010;1944;2000;Eighting / Raizing (Capcom license);;2;0;joy8way;good;1;raster;1944;;;2
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);MAME 2010;1944;2000;bootleg;;2;0;joy8way;good;1;raster;1944;;;2
1944;1944: The Loop Master (USA 000620);MAME 2010;;2000;Eighting / Raizing (Capcom license);;2;0;joy8way;good;1;raster;;;;2
1945kiii;1945k III;MAME 2010;;2000;Oriental;;2;270;joy8way;good;1;raster;;;;4
spikes91;1991 Spikes (Italian bootleg);MAME 2010;pspikes;1991;bootleg;;2;0;joy8way;preliminary;1;raster;pspikes;;;3
