#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME Mame4all;;1988;Konami;Sports / Track & Field;4P alt / 2P sim;;;;0;;;;;
99lstwar;'99 The Last War;MAME Mame4all;sonofphx;1985;Proma;Shooter / Gallery;2P alt;;;;0;;sonofphx;;;
99lstwra;'99 The Last War (alternate);MAME Mame4all;sonofphx;1985;Proma;Shooter / Gallery;2P alt;;;;0;;sonofphx;;;
005;005;MAME Mame4all;;1981;Sega;Maze / Shooter Small;2P alt;;;;0;;;;;
yard;10 Yard Fight;MAME Mame4all;;1983;Irem;;;;;;0;;;;;
vsyard;10 Yard Fight (Vs. version 11/05/84);MAME Mame4all;yard;1984;Irem;;;;;;0;;yard;;;
vsyard2;10 Yard Fight (Vs. version, set 2);MAME Mame4all;yard;1984;Irem;;;;;;0;;yard;;;
1941j;1941 - Counter Attack (Japan);MAME Mame4all;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;1941;;;
1941;1941 - Counter Attack (World);MAME Mame4all;;1990;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;;;;
1942;1942 (set 1);MAME Mame4all;;1984;Capcom;Shooter / Flying Vertical;2P alt;;;;0;;;;;
1942a;1942 (set 2);MAME Mame4all;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;;;;0;;1942;;;
1942b;1942 (set 3);MAME Mame4all;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;;;;0;;1942;;;
1943j;1943 - The Battle of Midway (Japan);MAME Mame4all;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;1943;;;
1943;1943 - The Battle of Midway (US);MAME Mame4all;;1987;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;;;;
1943kai;1943 Kai;MAME Mame4all;;1987;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);MAME Mame4all;;1995;Midway;Sports / Hockey;4P sim;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);MAME Mame4all;;1991;SNK / Pallas;Sports / Baseball;2P sim;;;;0;;neogeo;;;
2020bbh;2020 Super Baseball (set 2);MAME Mame4all;2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;;;;0;;2020bb;;;
3countb;3 Count Bout / Fire Suplex;MAME Mame4all;;1993;SNK;Sports / Wrestling;2P sim;;;;0;;neogeo;;;
bowler;4 Player Bowling;MAME Mame4all;;1978;Midway;Sports / Bowling;4P alt;;;;0;;;;;
4dwarrio;4-D Warriors;MAME Mame4all;;1985;Coreland / Sega;Shooter / Flying Horizontal;2P alt;;;;0;;;;;
600;600;MAME Mame4all;turtles;1981;Konami;Maze;2P alt;;;;0;;turtles;;;
64streej;64th. Street - A Detective Story (Japan);MAME Mame4all;64street;1991;Jaleco;Fighter / 2.5D;2P sim;;;;0;;64street;;;
64street;64th. Street - A Detective Story (World);MAME Mame4all;;1991;Jaleco;Fighter / 2.5D;2P sim;;;;0;;;;;
720;720 Degrees (set 1);MAME Mame4all;;1986;Atari Games;Sports / Skateboarding;2P alt;;;;0;;;;;
720b;720 Degrees (set 2);MAME Mame4all;720;1986;Atari Games;Sports / Skateboarding;2P alt;;;;0;;720;;;
800fath;800 Fathoms;MAME Mame4all;mariner;1981;Amenip (US Billiards Inc. license);Shooter / Misc. Horizontal;2P alt;;;;0;;mariner;;;
apb;APB - All Points Bulletin (set 1);MAME Mame4all;;1987;Atari Games;Driving;1P;;;;0;;;;;
apb2;APB - All Points Bulletin (set 2);MAME Mame4all;apb;1987;Atari Games;Driving;1P;;;;0;;apb;;;
aso;ASO - Armored Scrum Object;MAME Mame4all;;1985;SNK;Shooter / Flying Vertical;2P alt;;;;0;;;;;
actfancj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);MAME Mame4all;actfancr;1989;Data East Corporation;Platform / Shooter Scrolling;2P alt;;;;0;;actfancr;;;
actfanc1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);MAME Mame4all;actfancr;1989;Data East Corporation;Platform / Shooter Scrolling;2P alt;;;;0;;actfancr;;;
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);MAME Mame4all;;1989;Data East Corporation;Platform / Shooter Scrolling;2P alt;;;;0;;;;;
hatena;Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan);MAME Mame4all;;1990;Capcom;Quiz / Japanese;2P sim;;;;0;;;;;
aerofgt;Aero Fighters;MAME Mame4all;;1992;Video System Co.;Shooter / Flying Vertical;2P sim;;;;0;;;;;
aerofgtb;Aero Fighters (Turbo Force hardware set 1);MAME Mame4all;aerofgt;1992;Video System Co.;Shooter / Flying Vertical;2P sim;;;;0;;aerofgt;;;
aerofgtc;Aero Fighters (Turbo Force hardware set 2);MAME Mame4all;aerofgt;1992;Video System Co.;Shooter / Flying Vertical;2P sim;;;;0;;aerofgt;;;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;MAME Mame4all;;1994;Video System Co.;Shooter / Flying Vertical;2P sim;;;;0;;neogeo;;;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;MAME Mame4all;;1995;Video System Co.;Shooter / Flying Vertical;2P sim;;;;0;;neogeo;;;
aeroboto;Aeroboto;MAME Mame4all;formatz;1984;[Jaleco] (Williams license);Shooter / Misc. Horizontal;2P alt;;;;0;;formatz;;;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku;MAME Mame4all;;1994;ADK / SNK;Fighter / Versus;2P sim;;;;0;;neogeo;;;
koshien;Ah Eikou no Koshien (Japan);MAME Mame4all;;1990;Taito Corporation;Sports / Baseball;2P sim;;;;0;;;;;
airbustr;Air Buster (Japan);MAME Mame4all;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;2P sim;;;;0;;;;;
airduel;Air Duel (Japan);MAME Mame4all;;1990;Irem;Shooter / Flying Vertical;2P sim;;;;0;;;;;
airwolf;Air Wolf;MAME Mame4all;;1987;Kyugo;Shooter / Flying Horizontal;2P alt;;;;0;;;;;
ajax;Ajax;MAME Mame4all;;1987;Konami;Shooter / Flying Vertical;2P alt;;;;0;;;;;
ajaxj;Ajax (Japan);MAME Mame4all;ajax;1987;Konami;Shooter / Flying Vertical;2P alt;;;;0;;ajax;;;
hcastlej;Akuma-Jou Dracula (Japan);MAME Mame4all;hcastle;1988;Konami;Platform / Fighter Scrolling;2P alt;;;;0;;hcastle;;;
alcon;Alcon;MAME Mame4all;slapfigh;1986;<unknown>;Shooter / Flying Vertical;2P alt;;;;0;;slapfigh;;;
lwingsjp;Ales no Tsubasa (Japan);MAME Mame4all;lwings;1986;Capcom;Shooter / Flying Vertical;2P sim;;;;0;;lwings;;;
alexkidd;Alex Kidd (set 1);MAME Mame4all;;1986;Sega;Platform / Run Jump Scrolling;2P sim;;;;0;;;;;
alexkida;Alex Kidd (set 2);MAME Mame4all;alexkidd;1986;Sega;Platform / Run Jump Scrolling;2P sim;;;;0;;alexkidd;;;
alibaba;Ali Baba and 40 Thieves;MAME Mame4all;;1982;Sega;Maze;2P alt;;;;0;;;;;
alieninv;Alien Invasion Part II;MAME Mame4all;invaders;;bootleg;Shooter / Gallery;2P alt;;;;0;;invaders;;;
astorm;Alien Storm;MAME Mame4all;;1990;Sega;Platform / Shooter Scrolling;2P sim;;;;0;;;;;
astorm2p;Alien Storm (2 Player);MAME Mame4all;astorm;1990;Sega;Platform / Shooter Scrolling;2P sim;;;;0;;astorm;;;
astormbl;Alien Storm (bootleg);MAME Mame4all;astorm;1990;bootleg;Platform / Shooter Scrolling;3P sim;;;;0;;astorm;;;
aliensyj;Alien Syndrome (Japan);MAME Mame4all;aliensyn;1987;Sega;Maze / Shooter Large;2P sim;;;;0;;aliensyn;;;
aliensyn;Alien Syndrome (set 1);MAME Mame4all;;1987;Sega;Maze / Shooter Large;2P sim;;;;0;;;;;
aliensya;Alien Syndrome (set 2);MAME Mame4all;aliensyn;1987;Sega;Maze / Shooter Large;2P sim;;;;0;;aliensyn;;;
aliensyb;Alien Syndrome (set 3);MAME Mame4all;aliensyn;1987;Sega;Maze / Shooter Large;2P sim;;;;0;;aliensyn;;;
aliensj;Aliens (Japan);MAME Mame4all;aliens;1990;Konami;Platform / Shooter Scrolling;2P sim;;;;0;;aliens;;;
aliensu;Aliens (US);MAME Mame4all;aliens;1990;Konami;Platform / Shooter Scrolling;2P sim;;;;0;;aliens;;;
aliens;Aliens (World set 1);MAME Mame4all;;1990;Konami;Platform / Shooter Scrolling;2P sim;;;;0;;;;;
aliens2;Aliens (World set 2);MAME Mame4all;aliens;1990;Konami;Platform / Shooter Scrolling;2P sim;;;;0;;aliens;;;
aafbb;All American Football (rev B);MAME Mame4all;aafb;1989;Leland Corp.;Sports / Amer. Football;4P sim;;;;0;;aafb;;;
aafbd2p;All American Football (rev D, 2 Players);MAME Mame4all;aafb;1989;Leland Corp.;Sports / Amer. Football;2P sim;;;;0;;aafb;;;
aafb;All American Football (rev E);MAME Mame4all;;1989;Leland Corp.;Sports / Amer. Football;4P sim;;;;0;;;;;
alleymas;Alley Master;MAME Mame4all;;1986;Cinematronics;Sports / Bowling;2P alt;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian;MAME Mame4all;;1991;SNK;Shooter / Flying Vertical;2P sim;;;;0;;neogeo;;;
alpine;Alpine Ski (set 1);MAME Mame4all;;1982;Taito Corporation;Sports / Skiing;2P alt;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME Mame4all;alpine;1982;Taito Corporation;Sports / Skiing;2P alt;;;;0;;alpine;;;
altbeast;Altered Beast (Version 1);MAME Mame4all;;1988;Sega;Platform / Fighter Scrolling;2P sim;;;;0;;;;;
altbeas2;Altered Beast (Version 2);MAME Mame4all;altbeast;1988;Sega;Platform / Fighter Scrolling;2P sim;;;;0;;altbeast;;;
maze;Amazing Maze;MAME Mame4all;;1976;Midway;Maze;2P sim;;;;0;;;;;
ambush;Ambush;MAME Mame4all;;1983;Nippon Amuse Co-Ltd;Shooter / Flying (chase view);2P alt;;;;0;;;;;
horshoes;American Horseshoes (US);MAME Mame4all;;1990;Taito America Corporation;Sports / Horseshoes;4P alt;;;;0;;;;;
amidar;Amidar;MAME Mame4all;;1981;Konami;Maze / Outline;2P alt;;;;0;;;;;
amidaro;Amidar (Olympia);MAME Mame4all;amidar;1982;Konami (Olympia license);Maze / Outline;2P alt;;;;0;;amidar;;;
amidars;Amidar (Scramble hardware);MAME Mame4all;amidar;1982;Konami;Maze / Outline;2P alt;;;;0;;amidar;;;
amidaru;Amidar (Stern);MAME Mame4all;amidar;1982;Konami (Stern license);Maze / Outline;2P alt;;;;0;;amidar;;;
amigo;Amigo;MAME Mame4all;amidar;1982;bootleg;Maze / Outline;2P alt;;;;0;;amidar;;;
androdun;Andro Dunos;MAME Mame4all;;1992;Visco;Shooter / Flying Horizontal;2P sim;;;;0;;neogeo;;;
anteater;Anteater;MAME Mame4all;;1982;[Stern] (Tago license);Maze;2P alt;;;;0;;;;;
appoooh;Appoooh;MAME Mame4all;;1984;Sega;Sports / Wrestling;2P alt;;;;0;;;;;
arabian;Arabian;MAME Mame4all;;1983;Sun Electronics;Platform / Run Jump;2P alt;;;;0;;;;;
arabiana;Arabian (Atari);MAME Mame4all;arabian;1983;[Sun Electronics] (Atari license);Platform / Run Jump;2P alt;;;;0;;arabian;;;
arbalest;Arbalester;MAME Mame4all;;1989;Seta;Shooter / Flying Vertical;2P sim;;;;0;;;;;
arcadecl;Arcade Classics (prototype);MAME Mame4all;;1992;Atari Games;Multiplay / Compilation;2P sim;;;;0;;;;;
archriv2;Arch Rivals (rev 2.0);MAME Mame4all;archrivl;1989;Bally Midway;Sports / Basketball;2P sim;;;;0;;archrivl;;;
archrivl;Arch Rivals (rev 4.0);MAME Mame4all;;1989;Bally Midway;Sports / Basketball;2P sim;;;;0;;;;;
area88;Area 88 (Japan);MAME Mame4all;unsquad;1989;Capcom;Shooter / Flying Horizontal;2P sim;;;;0;;unsquad;;;
rygarj;Argus no Senshi (Japan);MAME Mame4all;rygar;1986;Tecmo;Platform / Fighter Scrolling;2P alt;;;;0;;rygar;;;
arkarea;Ark Area;MAME Mame4all;;;UPL;Shooter / Field;2P sim;;;;0;;;;;
arkangc;Arkanoid (Game Corporation bootleg);MAME Mame4all;arkanoid;1986;bootleg;Ball & Paddle / Breakout;2P alt;;;;0;;arkanoid;;;
arknoidj;Arkanoid (Japan);MAME Mame4all;arkanoid;1986;Taito Corporation;Ball & Paddle / Breakout;2P alt;;;;0;;arkanoid;;;
