#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
005;005;Mame (Advance);;;;;;;;;;;;;;
11beat;11beat;Mame (Advance);;;;;;;;;;;;;;
1941;1941;Mame (Advance);;;;;;;;;;;;;;
1941j;1941j;Mame (Advance);;;;;;;;;;;;;;
1942;1942;Mame (Advance);;;;;;;;;;;;;;
1942a;1942a;Mame (Advance);;;;;;;;;;;;;;
1942b;1942b;Mame (Advance);;;;;;;;;;;;;;
1943;1943;Mame (Advance);;;;;;;;;;;;;;
1943j;1943j;Mame (Advance);;;;;;;;;;;;;;
1943kai;1943kai;Mame (Advance);;;;;;;;;;;;;;
1944;1944;Mame (Advance);;;;;;;;;;;;;;
1944j;1944j;Mame (Advance);;;;;;;;;;;;;;
1945kiii;1945kiii;Mame (Advance);;;;;;;;;;;;;;
19xx;19xx;Mame (Advance);;;;;;;;;;;;;;
19xxa;19xxa;Mame (Advance);;;;;;;;;;;;;;
19xxh;19xxh;Mame (Advance);;;;;;;;;;;;;;
19xxj;19xxj;Mame (Advance);;;;;;;;;;;;;;
19xxjr1;19xxjr1;Mame (Advance);;;;;;;;;;;;;;
2020bb;2020bb;Mame (Advance);;;;;;;;;;;;;;
2020bba;2020bba;Mame (Advance);;;;;;;;;;;;;;
2020bbh;2020bbh;Mame (Advance);;;;;;;;;;;;;;
280zzzap;280zzzap;Mame (Advance);;;;;;;;;;;;;;
3countb;3countb;Mame (Advance);;;;;;;;;;;;;;
3in1semi;3in1semi;Mame (Advance);;;;;;;;;;;;;;
3kokushi;3kokushi;Mame (Advance);;;;;;;;;;;;;;
3stooges;3stooges;Mame (Advance);;;;;;;;;;;;;;
3wonders;3wonders;Mame (Advance);;;;;;;;;;;;;;
3wonderu;3wonderu;Mame (Advance);;;;;;;;;;;;;;
40love;40love;Mame (Advance);;;;;;;;;;;;;;
47pie2;47pie2;Mame (Advance);;;;;;;;;;;;;;
47pie2o;47pie2o;Mame (Advance);;;;;;;;;;;;;;
4dwarrio;4dwarrio;Mame (Advance);;;;;;;;;;;;;;
4enraya;4enraya;Mame (Advance);;;;;;;;;;;;;;
4in1;4in1;Mame (Advance);;;;;;;;;;;;;;
4in1boot;4in1boot;Mame (Advance);;;;;;;;;;;;;;
4psimasy;4psimasy;Mame (Advance);;;;;;;;;;;;;;
600;600;Mame (Advance);;;;;;;;;;;;;;
64streej;64streej;Mame (Advance);;;;;;;;;;;;;;
64street;64street;Mame (Advance);;;;;;;;;;;;;;
720;720;Mame (Advance);;;;;;;;;;;;;;
720g;720g;Mame (Advance);;;;;;;;;;;;;;
720gr1;720gr1;Mame (Advance);;;;;;;;;;;;;;
720r1;720r1;Mame (Advance);;;;;;;;;;;;;;
720r2;720r2;Mame (Advance);;;;;;;;;;;;;;
720r3;720r3;Mame (Advance);;;;;;;;;;;;;;
7jigen;7jigen;Mame (Advance);;;;;;;;;;;;;;
7toitsu;7toitsu;Mame (Advance);;;;;;;;;;;;;;
800fath;800fath;Mame (Advance);;;;;;;;;;;;;;
88games;88games;Mame (Advance);;;;;;;;;;;;;;
8ball;8ball;Mame (Advance);;;;;;;;;;;;;;
8ball1;8ball1;Mame (Advance);;;;;;;;;;;;;;
8ballact;8ballact;Mame (Advance);;;;;;;;;;;;;;
8ballat2;8ballat2;Mame (Advance);;;;;;;;;;;;;;
8bpm;8bpm;Mame (Advance);;;;;;;;;;;;;;
99lstwar;99lstwar;Mame (Advance);;;;;;;;;;;;;;
99lstwra;99lstwra;Mame (Advance);;;;;;;;;;;;;;
99lstwrk;99lstwrk;Mame (Advance);;;;;;;;;;;;;;
9ballsh2;9ballsh2;Mame (Advance);;;;;;;;;;;;;;
9ballsh3;9ballsh3;Mame (Advance);;;;;;;;;;;;;;
9ballsht;9ballsht;Mame (Advance);;;;;;;;;;;;;;
a51mxr3k;a51mxr3k;Mame (Advance);;;;;;;;;;;;;;
a51site4;a51site4;Mame (Advance);;;;;;;;;;;;;;
aafb;aafb;Mame (Advance);;;;;;;;;;;;;;
aafbb;aafbb;Mame (Advance);;;;;;;;;;;;;;
aafbc;aafbc;Mame (Advance);;;;;;;;;;;;;;
aafbd2p;aafbd2p;Mame (Advance);;;;;;;;;;;;;;
abaseb;abaseb;Mame (Advance);;;;;;;;;;;;;;
abaseb2;abaseb2;Mame (Advance);;;;;;;;;;;;;;
abattle;abattle;Mame (Advance);;;;;;;;;;;;;;
abattle2;abattle2;Mame (Advance);;;;;;;;;;;;;;
abcop;abcop;Mame (Advance);;;;;;;;;;;;;;
abscam;abscam;Mame (Advance);;;;;;;;;;;;;;
abunai;abunai;Mame (Advance);;;;;;;;;;;;;;
aburner;aburner;Mame (Advance);;;;;;;;;;;;;;
aburner2;aburner2;Mame (Advance);;;;;;;;;;;;;;
ace;ace;Mame (Advance);;;;;;;;;;;;;;
aceattac;aceattac;Mame (Advance);;;;;;;;;;;;;;
acedrvrw;acedrvrw;Mame (Advance);;;;;;;;;;;;;;
acitya;acitya;Mame (Advance);;;;;;;;;;;;;;
acombat;acombat;Mame (Advance);;;;;;;;;;;;;;
acommand;acommand;Mame (Advance);;;;;;;;;;;;;;
acpsx;acpsx;Mame (Advance);;;;;;;;;;;;;;
acrobatm;acrobatm;Mame (Advance);;;;;;;;;;;;;;
actfanc1;actfanc1;Mame (Advance);;;;;;;;;;;;;;
actfancj;actfancj;Mame (Advance);;;;;;;;;;;;;;
actfancr;actfancr;Mame (Advance);;;;;;;;;;;;;;
actionhw;actionhw;Mame (Advance);;;;;;;;;;;;;;
ad2083;ad2083;Mame (Advance);;;;;;;;;;;;;;
aerfboot;aerfboot;Mame (Advance);;;;;;;;;;;;;;
aeroboto;aeroboto;Mame (Advance);;;;;;;;;;;;;;
aerofgt;aerofgt;Mame (Advance);;;;;;;;;;;;;;
aerofgtb;aerofgtb;Mame (Advance);;;;;;;;;;;;;;
