#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
$100,000 Pyramid (1988);$100,000 Pyramid;Microsoft MS-DOS;;1988;Box Office, Inc.;Game Show;;;;;0;;;;;
'Nam 1965-1975 (1991);'Nam 1965-1975;Microsoft MS-DOS;;1991;Kremlin, The;Strategy;;;;;0;;;;;
+Start DOSBox;+Start DOSBox;Microsoft MS-DOS;;;;;;;;;;;;;;
+Start DOSBox-SDL2;+Start DOSBox-SDL2;Microsoft MS-DOS;;;;;;;;;;;;;;
007 -  Licence to Kill (1989);007:  Licence to Kill;Microsoft MS-DOS;;1989;Quixel;Driving;;;;;0;;;;;
1 Ton (1996);1 Ton (Unl);Microsoft MS-DOS;;1996;Freeware;Action;;;;;0;;;;;
1000 Miglia (1992);1000 Miglia;Microsoft MS-DOS;;1992;Simulmondo;Driving;;;;;0;;;;;
10Rogue (1984);10Rogue;Microsoft MS-DOS;;1984;Codebusters, Inc.;Role-Playing;;;;;0;;;;;
10th Frame (1987);10th Frame;Microsoft MS-DOS;;1987;Access Software, Inc.;Sports/Bowling;;;;;0;;;;;
11th Hour, The (1995);11th Hour, The;Microsoft MS-DOS;;1995;Trilobyte, Inc.;Adventure;;;;;0;;;;;
15 Move Hole Puzzle (1994);15 Move Hole Puzzle;Microsoft MS-DOS;;1994;DEMONsoft;Strategy;;;;;0;;;;;
15x15 (1996);15x15;Microsoft MS-DOS;;1996;Nikita Ltd.;Puzzle;;;;;0;;;;;
16 (1996);16 (Unl);Microsoft MS-DOS;;1996;Freeware;Puzzle;;;;;0;;;;;
1830;1830;Microsoft MS-DOS;;;;;;;;;;;;;;
1830 Railroads & Robber Barons (1995);1830: Railroads and Robber Barons;Microsoft MS-DOS;;1995;SimTex, Inc.;Strategy;;;;;0;;;;;
1869 (1992);1869;Microsoft MS-DOS;;1992;Max Design GesMBH;Strategy;;;;;0;;;;;
1942 The Pacific Air War (1994);1942: The Pacific Air War;Microsoft MS-DOS;;1994;MicroProse Software, Inc.;Simulation;;;;;0;;;;;
1992tris (1993);1993tris (Unl);Microsoft MS-DOS;;1993;Freeware;Puzzle;;;;;0;;;;;
1994Pool+ (1994);1994Pool+;Microsoft MS-DOS;;1994;Ninano Software Co.;Sports/Pool and Dart;;;;;0;;;;;
1st Person Pinball (1989);1st Person Pinball;Microsoft MS-DOS;;1989;Cirrus Software;Pinball;;;;;0;;;;;
20,000 Leagues Under the Sea (1988);20,000 Leagues Under the Sea;Microsoft MS-DOS;;1988;Coktel Vision;Adventure;;;;;0;;;;;
221B Baker Street (1987);221B Baker Street;Microsoft MS-DOS;;1987;IntelliCreations, Inc.;Adventure;;;;;0;;;;;
2400 AD (1988);2400 A.D.;Microsoft MS-DOS;;1988;ORIGIN Systems, Inc.;Role-Playing;;;;;0;;;;;
2x2 (1995);2x2;Microsoft MS-DOS;;1995;AT&M;Educational;;;;;0;;;;;
3 Card High Low Poker (1986);3 Card High Low Poker (Unl);Microsoft MS-DOS;;1986;Freeware;Tabletop;;;;;0;;;;;
3 Point Basketball (1993);3 Point Basketball;Microsoft MS-DOS;;1993;MVP Software;Sports/Basketball;;;;;0;;;;;
3 Skulls of the Toltecs (1996);3 Skulls of the Toltecs;Microsoft MS-DOS;;1996;Revistronic;Adventure;;;;;0;;;;;
3-D Body Adventure (1994);3-D Body Adventure;Microsoft MS-DOS;;1994;Knowledge Adventure, Inc.;Educational;;;;;0;;;;;
3-D TableSports (1996);3-D TableSports;Microsoft MS-DOS;;1996;Mass Media, Inc.;Sports;;;;;0;;;;;
3-D Tic-Tac-Toe (1992);3-D Tic-Tac-Toe (Unl);Microsoft MS-DOS;;1992;Freeware;Board Games;;;;;0;;;;;
3-Demon (1983);3-Demon;Microsoft MS-DOS;;1983;PC Research Inc.;Shooter;;;;;0;;;;;
3-K Trivia (1984);3-K Trivia;Microsoft MS-DOS;;1984;IBM;Game Show;;;;;0;;;;;
3D Ball Blaster (1992);3D Ball Blaster;Microsoft MS-DOS;;1992;Dungeon Entertainment;Sports/Soccer;;;;;0;;;;;
3D Bomber (1998);3D Bomber (Unl);Microsoft MS-DOS;;1998;Freeware;Shooter;;;;;0;;;;;
3D Dinosaur Adventure (1988);3D Dinosaur Adventure;Microsoft MS-DOS;;1988;Knowledge Adventure, Inc.;Educational;;;;;0;;;;;
3D Hamster's Adventure (1996);3D Hamster's Adventure;Microsoft MS-DOS;;1996;Laser Point;Action;;;;;0;;;;;
3D Lemmings Winterland (1995);3D Lemmings Winterland;Microsoft MS-DOS;;1995;Clockwork Games Limited;Puzzle;;;;;0;;;;;
3D Pinball (1992);3D Pinball;Microsoft MS-DOS;;1992;Microvalue;Pinball;;;;;0;;;;;
3D Pifall (1994);3D Pitfall (Unl);Microsoft MS-DOS;;1994;Freeware;Puzzle;;;;;0;;;;;
3D World Boxing (1992);3D World Boxing;Microsoft MS-DOS;;1992;Simulmondo;Sports/Boxing;;;;;0;;;;;
3DCube (1994);3DCube;Microsoft MS-DOS;;1994;Warren Ward;Puzzle;;;;;0;;;;;
3DWorld (1994);3DWorld (Unl);Microsoft MS-DOS;;1994;Freeware;Action;;;;;0;;;;;
4 Queens Computer Casino (1992);4 Queens Computer Casino;Microsoft MS-DOS;;1992;Applications Plus;Casino;;;;;0;;;;;
4 Soccer Simulators (1988);4 Soccer Simulators;Microsoft MS-DOS;;1988;Codemasters Software Company Limited, The;Sports/Soccer;;;;;0;;;;;
4-D Boxing (1991);4-D Boxing;Microsoft MS-DOS;;1991;Distinctive Software, Inc.;Sports/Boxing;;;;;0;;;;;
4D Prince of Persia (1994);4D Prince of Persia (Unl);Microsoft MS-DOS;;1994;Terebilov K.A.;Platform;;;;;0;;;;;
4D Sports Tennis (1990);4D Sports Tennis;Microsoft MS-DOS;;1990;Distinctive Software, Inc.;Sports/Tennis;;;;;0;;;;;
4K Adventure (1995);4K Adventure (Unl);Microsoft MS-DOS;;1995;Freeware;Adventure;;;;;0;;;;;
4dboxing;4dboxing;Microsoft MS-DOS;;;;;;;;;;;;;;
4th & Inches (1988);4th & Inches;Microsoft MS-DOS;;1988;Accolade, Inc.;Sports;;;;;0;;;;;
4x4 Off-Road Racing (1988);4x4 Off-Road Racing;Microsoft MS-DOS;;1988;Epyx, Inc.;Driving;;;;;0;;;;;
4x4 Team (1988);4x4 Team;Microsoft MS-DOS;;1988;Infodisc;Driving;;;;;0;;;;;
50 Mission Crush (1984);50 Mission Crush;Microsoft MS-DOS;;1984;Strategic Simulations, Inc.;Role-Playing;;;;;0;;;;;
5X (2000);5X;Microsoft MS-DOS;;2000;SpeedStrip Interactive;Strategy;;;;;0;;;;;
5th Fleet, The (1994);5th Fleet, The;Microsoft MS-DOS;;1994;Stanley Associates;Board Games;;;;;0;;;;;
688 Attack Sub (1989);688 Attack Sub;Microsoft MS-DOS;;1989;Electronic Arts, Inc.;Simulation;;;;;0;;;;;
7 Colors (1991);7 Colors;Microsoft MS-DOS;;1991;Gamos Ltd.;Puzzle;;;;;0;;;;;
7citiesg;7citiesg;Microsoft MS-DOS;;;;;;;;;;;;;;
7th Guest, The (1993);7th Guest, The;Microsoft MS-DOS;;1993;Trilobyte, Inc.;Adventure;;;;;0;;;;;
8088 Othello (1985);8088 Othello (Unl);Microsoft MS-DOS;;1985;Freeware;Puzzle;;;;;0;;;;;
905 (2000);9:05 (Unl);Microsoft MS-DOS;;2000;Freeware;Adventure;;;;;0;;;;;
A Day for Soft Food (1999);A Day for Soft Food (Unl);Microsoft MS-DOS;;1999;Freeware;Adventure;;;;;0;;;;;
A Dudley Dilemma (1988);A Dudley Dilemma (Unl);Microsoft MS-DOS;;1988;Freeware;Adventure;;;;;0;;;;;
A Line in the Sand (1992);A Line in the Sand;Microsoft MS-DOS;;1992;Strategic Simulations, Inc.;Strategy;;;;;0;;;;;
A Matter of Time (1995);A Matter of Time (Unl);Microsoft MS-DOS;;1995;Freeware;Adventure;;;;;0;;;;;
A Mind Forever Voyaging (1985);A Mind Forever Voyaging;Microsoft MS-DOS;;1985;Infocom, Inc.;Adventure;;;;;0;;;;;
A Night With Troi (1988);A Night With Troi (Unl);Microsoft MS-DOS;;1988;Freeware;Adventure;;;;;0;;;;;
A Nightmare on Elm Street (1989);A Nightmare on Elm Street;Microsoft MS-DOS;;1989;Westwood Associates;Action;;;;;0;;;;;
A Quick Run Around the House (1991);A Quick Run Around the House (Unl);Microsoft MS-DOS;;1991;Freeware;Adventure;;;;;0;;;;;
A-10 Tank Killer (1989);A-10 Tank Killer;Microsoft MS-DOS;;1989;Dynamix, Inc.;Simulation;;;;;0;;;;;
A-MIS Adventure (1993);A-MIS Adventure (Unl);Microsoft MS-DOS;;1993;Freeware;Adventure;;;;;0;;;;;
The A-Team (1989);A-Team, The;Microsoft MS-DOS;;1989;Zafiro;Shooter;;;;;0;;;;;
A-Train (1992);A-Train;Microsoft MS-DOS;;1992;Artdink Corporation;Simulation;;;;;0;;;;;
A.G.E. (1991);A.G.E.;Microsoft MS-DOS;;1991;Coktel Vision;Simulation;;;;;0;;;;;
A.J.'s World of Discovery (1992);A.J.'s World of Discovery;Microsoft MS-DOS;;1992;Coktel Vision;Educational;;;;;0;;;;;
ARSENAL Taste the Power (1998);A.R.S.E.N.A.L Taste the Power;Microsoft MS-DOS;;1998;TACTICAL Soft Inc.;Strategy;;;;;0;;;;;
A2 -  The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game (1998);A2: The Ultimate Sequel To AUTS (Unl);Microsoft MS-DOS;;1998;Freeware;Shooter;;;;;0;;;;;
