#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
10-Yard Fight (Japan);10-Yard Fight (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
1942 (Japan);1942 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
A.E. (Japan);A.E. (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
A1 Spirit - The Way to Formula-1 (Japan);A1 Spirit - The Way to Formula-1 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Actman (Japan);Actman (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Adven' Chuta! (Japan);Adven' Chuta! (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Albatros (Japan);Albatros (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Alcazar - The Forgotten Fortress (Japan);Alcazar - The Forgotten Fortress (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Alibaba and 40 Thieves (Japan);Alibaba and 40 Thieves (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Alien 8 (Japan);Alien 8 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Aliens - Alien 2 (Japan);Aliens - Alien 2 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Alpha Roid (Japan);Alpha Roid (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Alpha Squadron (Japan);Alpha Squadron (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
American Truck (Japan);American Truck (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Anaza - Kaleidoscope Special (Japan);Anaza - Kaleidoscope Special (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Angelo (Japan);Angelo (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Animal Land (Japan);Animal Land (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Antarctic Adventure (Europe);Antarctic Adventure (Europe);Microsoft MSX2+;;;;;;;;;;;;;;
Antarctic Adventure (Japan);Antarctic Adventure (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Anty (Japan);Anty (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Aqua Polis SOS (Japan);Aqua Polis SOS (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Aquattack (Japan);Aquattack (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Aramo (Japan);Aramo (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Arc (Netherlands);Arc (Netherlands);Microsoft MSX2+;;1990;Parallax / Checkmark;Action;;;;;0;;;;;
Arkanoid (Japan);Arkanoid (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Arubatoros (Japan);Arubatoros (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
AshGuine (Japan);AshGuine (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
AshGuine 2 (Japan);AshGuine 2 (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Athletic Ball (Japan);Athletic Ball (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Athletic Land (Japan);Athletic Land (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Attack Four Volley Ball (Japan);Attack Four Volley Ball (Japan);Microsoft MSX2+;;;;;;;;;;;;;;
Aura Battle Dunbine (Japan)(Disk 1 of 6);Aura Battle Dunbine (Japan)(Disk 1 of 6);Microsoft MSX2+;;1991;Family Soft;Strategy;;;;;0;;;;;
Aura Battle Dunbine (Japan)(Disk 2 of 6);Aura Battle Dunbine (Japan)(Disk 2 of 6);Microsoft MSX2+;;1991;Family Soft;Strategy;;;;;0;;;;;
Aura Battle Dunbine (Japan)(Disk 3 of 6);Aura Battle Dunbine (Japan)(Disk 3 of 6);Microsoft MSX2+;;1991;Family Soft;Strategy;;;;;0;;;;;
Aura Battle Dunbine (Japan)(Disk 4 of 6);Aura Battle Dunbine (Japan)(Disk 4 of 6);Microsoft MSX2+;;1991;Family Soft;Strategy;;;;;0;;;;;
Aura Battle Dunbine (Japan)(Disk 5 of 6);Aura Battle Dunbine (Japan)(Disk 5 of 6);Microsoft MSX2+;;1991;Family Soft;Strategy;;;;;0;;;;;
