#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Aa! Megami Sama (Japan) (Disc 1);Aa! Megami Sama (Japan) (Disc 1);NEC PC-FX;;1997;NEC Home Electronics;Adventure;;;;;0;;;;;
Aa! Megami Sama (Japan) (Disc 2);Aa! Megami Sama (Japan) (Disc 2);NEC PC-FX;;1997;NEC Home Electronics;Adventure;;;;;0;;;;;
Akazukin Chacha (Japan);Akazukin Chacha (Japan);NEC PC-FX;;1996;NEC Home Electronics;Board Games;;;;;0;;;;;
All Japan Womans Pro Wrestling - Queen Of Queens (Japan) (Disc 1);All Japan Womans Pro Wrestling - Queen Of Queens (Japan) (Disc 1);NEC PC-FX;;1995;NEC Home Electronics;Sports/Wrestling;;;;;0;;;;;
All Japan Womans Pro Wrestling - Queen Of Queens (Japan) (Disc 2);All Japan Womans Pro Wrestling - Queen Of Queens (Japan) (Disc 2);NEC PC-FX;;1995;NEC Home Electronics;Sports/Wrestling;;;;;0;;;;;
Angelique Special (Japan);Angelique Special (Japan);NEC PC-FX;;1995;Koei;Simulation;;;;;0;;;;;
Angelique Special 2 (Japan);Angelique Special 2 (Japan);NEC PC-FX;;1996;Koei;Simulation;;;;;0;;;;;
Angelique Tenkuu No Requim (Japan);Angelique Tenkuu No Requim (Japan);NEC PC-FX;;1998;Koei;Role-Playing;;;;;0;;;;;
Aruberea's Maiden (Japan);Aruberea's Maiden (Japan);NEC PC-FX;;1997;NEC Home Electronics;Simulation;;;;;0;;;;;
Battle Heat (Japan);Battle Heat (Japan);NEC PC-FX;;1994;Hudson;Fighter;;;;;0;;;;;
Blue Breaker (Japan);Blue Breaker (Japan);NEC PC-FX;;1996;Hunex;Role-Playing;;;;;0;;;;;
Blue Chicago Blues (Japan) (Disc 1);Blue Chicago Blues (Japan) (Disc 1);NEC PC-FX;;1996;Riverhill Soft;Adventure;;;;;0;;;;;
Blue Chicago Blues (Japan) (Disc 2);Blue Chicago Blues (Japan) (Disc 2);NEC PC-FX;;1996;Riverhill Soft;Adventure;;;;;0;;;;;
Boundary Gate - Daughter Of Kingdom (Japan);Boundary Gate - Daughter Of Kingdom (Japan);NEC PC-FX;;1997;Pack-In-Video;Role-Playing;;;;;0;;;;;
Can Can Bunny Extra DX (Japan);Can Can Bunny Extra DX (Japan);NEC PC-FX;;1996;Kid;Simulation;;;;;0;;;;;
Chip Chan Kick (Japan);Chip Chan Kick (Japan);NEC PC-FX;;1996;NEC Home Electronics;Platform;;;;;0;;;;;
Comic Road (Japan);Comic Road (Japan);NEC PC-FX;;1997;Cocktail Soft;Simulation;;;;;0;;;;;
Cutey Honey FX (Japan);Cutey Honey FX (Japan);NEC PC-FX;;1995;DataWest;Adventure;;;;;0;;;;;
Der Langrisser FX (Japan);Der Langrisser FX (Japan);NEC PC-FX;;1996;NCS;Role-Playing;;;;;0;;;;;
Doukyusei II (Japan);Doukyusei II (Japan);NEC PC-FX;;1996;NEC Interchannel;Simulation;;;;;0;;;;;
Dragon Knight IV (Japan);Dragon Knight IV (Japan);NEC PC-FX;;1997;NEC Avenue;Role-Playing;;;;;0;;;;;
Farland Story FX (Japan);Farland Story FX (Japan);NEC PC-FX;;1996;NEC;Simulation;;;;;0;;;;;
Fire Woman Matoi-Gumi (Japan);Fire Woman Matoi-Gumi (Japan);NEC PC-FX;;1996;Tokuma Shoten Intermedia;Action;;;;;0;;;;;
First Kiss Monogatari (Japan);First Kiss Monogatari (Japan);NEC PC-FX;;1997;Hunex;Adventure;;;;;0;;;;;
Fushigi No Kuni No Angelique (Japan);Fushigi No Kuni No Angelique (Japan);NEC PC-FX;;1996;Koei;Board Games;;;;;0;;;;;
Ginga Ojousama Densetsu Yuna FX (Japan);Ginga Ojousama Densetsu Yuna FX (Japan);NEC PC-FX;;1996;Hudson Soft;Adventure;;;;;0;;;;;
Kishin Douji Zenki Vajura Fight FX (Japan);Kishin Douji Zenki Vajura Fight FX (Japan);NEC PC-FX;;1995;Hudson Soft;Beat-'Em-Up;;;;;0;;;;;
Kokuu Hyouryuu Nirgends (Japan);Kokuu Hyouryuu Nirgends (Japan);NEC PC-FX;;1996;Micro Cabin;Adventure;;;;;0;;;;;
Konpeki No Kantai (Japan);Konpeki No Kantai (Japan);NEC PC-FX;;1995;Micro Cabin;Strategy;;;;;0;;;;;
Last Imperial Prince (Japan) (Disc 1);Last Imperial Prince (Japan) (Disc 1);NEC PC-FX;;1997;Nihon Application;Role-Playing;;;;;0;;;;;
Last Imperial Prince (Japan) (Disc 2);Last Imperial Prince (Japan) (Disc 2);NEC PC-FX;;1997;Nihon Application;Role-Playing;;;;;0;;;;;
Lunatic Dawn (Japan);Lunatic Dawn (Japan);NEC PC-FX;;1995;Artdink;Role-Playing;;;;;0;;;;;
Mahjong Goku Tenjiku (Japan);Mahjong Goku Tenjiku (Japan);NEC PC-FX;;1995;Chat Noir;Mahjong;;;;;0;;;;;
Makeruna! Makendou Z (Japan);Makeruna! Makendou Z (Japan);NEC PC-FX;;1998;Fill-In Cafe;Role-Playing;;;;;0;;;;;
