#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - GoldenEye (Japan);007 - GoldenEye (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Hanafuda - Tenshi no Yakusoku (Japan);64 Hanafuda - Tenshi no Yakusoku (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Oozumou (Japan);64 Oozumou (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Oozumou 2 (Japan);64 Oozumou 2 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Trump Collection - Alice no Wakuwaku Trump World (Japan);64 Trump Collection - Alice no Wakuwaku Trump World (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan);64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
AI Shougi 3 (Japan);AI Shougi 3 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
AeroGauge (Japan) (Rev A);AeroGauge (Japan) (Rev A);Nintendo 64 Japan;;;;;;;;;;;;;;
Air Boarder 64 (Japan);Air Boarder 64 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan);Akumajou Dracula Mokushiroku - Real Action Adventure (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan);Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Baku Bomber Man (Japan);Baku Bomber Man (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Baku Bomber Man 2 (Japan);Baku Bomber Man 2 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Bakuretsu Muteki Bangaioh (Japan);Bakuretsu Muteki Bangaioh (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Banjo to Kazooie no Daibouken (Japan);Banjo to Kazooie no Daibouken (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Banjo to Kazooie no Daibouken 2 (Japan);Banjo to Kazooie no Daibouken 2 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
