#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1gbah1;1gbah1;Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Advance Wars_2 - War Room C (Hack);Advance Wars_2 - War Room C (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Advance Wars_2 - War Room C (X);Advance Wars_2 - War Room C (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Breath of Fresh Fire II (Hack);Breath of Fresh Fire II (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Breath of Fresh Fire II (X);Breath of Fresh Fire II (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Castlevania - Revenge On Findesiecle X;Castlevania - Revenge On Findesiecle X;Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Castlevania - Revenge On Findesiecle X (Hack);Castlevania - Revenge On Findesiecle X (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Final Fantasy VI Advance (Hack);Final Fantasy VI Advance (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Final Fantasy VI Advance (X);Final Fantasy VI Advance (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Final Fantasy_Tactics - Advance (Hack);Final Fantasy_Tactics - Advance (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Final Fantasy_Tactics - Advance (X);Final Fantasy_Tactics - Advance (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 6 - Sword of Seals (Hack);Fire Emblem 6 - Sword of Seals (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 6 - Sword of Seals (T);Fire Emblem 6 - Sword of Seals (T);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 6.5 - Shining Armor (Hack);Fire Emblem 6.5 - Shining Armor (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 6.5 - Shining Armor (X).gba;Fire Emblem 6.5 - Shining Armor (X).gba;Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - AoTM (Hack);Fire Emblem 7 - AoTM (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - AoTM (X);Fire Emblem 7 - AoTM (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - Death or Glory (Hack);Fire Emblem 7 - Death or Glory (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - Death or Glory (X);Fire Emblem 7 - Death or Glory (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - Ostian Princess (Hack);Fire Emblem 7 - Ostian Princess (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - Ostian Princess (X);Fire Emblem 7 - Ostian Princess (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - Sacred Contention (Hack);Fire Emblem 7 - Sacred Contention (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - Sacred Contention (X);Fire Emblem 7 - Sacred Contention (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - The Last Promise (Hack);Fire Emblem 7 - The Last Promise (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7 - The Last Promise (X);Fire Emblem 7 - The Last Promise (X);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7.5 - Elibian Nights (Hack);Fire Emblem 7.5 - Elibian Nights (Hack);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Fire Emblem 7.5 - Elibian Nights (X).gba;Fire Emblem 7.5 - Elibian Nights (X).gba;Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
