#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Akumajou Dracula - Shikkokutaru Zensoukyoku (Hack);Akumajou Dracula - Shikkokutaru Zensoukyoku (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Akumajou Dracula - Shikkokutaru Zensoukyoku (Speed Up);Akumajou Dracula - Shikkokutaru Zensoukyoku (Speed Up);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania - Legends by Silver X (Speed);Castlevania - Legends by Silver X (Speed);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania Adventure, The (Graphics Improved);Castlevania Adventure, The (Graphics Improved);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania Adventure, The (Hack);Castlevania Adventure, The (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania II - Belmont's Revenge (Hack);Castlevania II - Belmont's Revenge (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania II - Belmont's Revenge (Speed Up);Castlevania II - Belmont's Revenge (Speed Up);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania Legends (Hack);Castlevania Legends (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania Legends (Speed Up);Castlevania Legends (Speed Up);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Legend of Zelda, The - Link's Awakening (Hack);Legend of Zelda, The - Link's Awakening (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Legend of Zelda, The - Link's Awakening (Restored Edition);Legend of Zelda, The - Link's Awakening (Restored Edition);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Metroid II - Return of Samus (Hack);Metroid II - Return of Samus (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Metroid II - Return of Samus (Incandescent Color Theme);Metroid II - Return of Samus (Incandescent Color Theme);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Metroid II DX by Redrum;Metroid II DX by Redrum;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Metroid II DX by Redrum (Hack);Metroid II DX by Redrum (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Blue Upgrade;Pokemon Blue Upgrade;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Blue Upgrade (Hack);Pokemon Blue Upgrade (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon II;Pokemon II;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon II (Hack);Pokemon II (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Neo - Adventure;Pokemon Neo - Adventure;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Neo - Adventure (Hack);Pokemon Neo - Adventure (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Platinum;Pokemon Platinum;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Platinum (Hack);Pokemon Platinum (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Red Upgrade;Pokemon Red Upgrade;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Red Upgrade (Hack);Pokemon Red Upgrade (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Rocket - Jessie Version;Pokemon Rocket - Jessie Version;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Rocket - Jessie Version (Hack);Pokemon Rocket - Jessie Version (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Z V3.0;Pokemon Z V3.0;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Z V3.0 (Hack);Pokemon Z V3.0 (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Rockman World 4;Rockman World 4;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Rockman World 4 (Hack);Rockman World 4 (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Mario Land (Hack);Super Mario Land (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Mario Land (New GFX Color Edition);Super Mario Land (New GFX Color Edition);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Mario Land 2 DX;Super Mario Land 2 DX;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Mario Land 2 DX (Hack);Super Mario Land 2 DX (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Pika Land;Super Pika Land;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Pika Land (Hack);Super Pika Land (Hack);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
