#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
64street;64th. Street - A Detective Story (World);Final Burn Alpha;;1991;Jaleco;;;;;;;;;;;
64street;64th. Street - A Detective Story (World);MAME (Advance);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME 2003;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME 2003 PLUS;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME 2010;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME 2015;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME CURRENT;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME Mame4all;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);Final Burn Alpha;64street;1991;Jaleco;;;;;;;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Advance);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME 2003;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME 2003 PLUS;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME 2010;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME 2015;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME CURRENT;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME Mame4all;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);Final Burn Alpha;;1988;Sega;;;;;;;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME (Advance);;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME 2003;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME 2003 PLUS;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME 2010;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME 2015;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME CURRENT;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);MAME Mame4all;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);Final Burn Alpha;;2001;Unico;;;;;;;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME (Advance);;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME 2003;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME 2003 PLUS;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME 2010;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME 2015;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME CURRENT;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);MAME Mame4all;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);Final Burn Alpha;;1991;Sega;;;;;;;;;;;
arabfgt;Arabian Fight (World);MAME (Advance);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME 2003;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME 2003 PLUS;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME 2010;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME 2015;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME CURRENT;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME Mame4all;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);Final Burn Alpha;armwar;1994;Capcom;;;;;;;;;;;
armwara;Armored Warriors (Asia 941024);MAME (Advance);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME 2003;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME 2003 PLUS;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME 2010;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME 2015;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME CURRENT;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME Mame4all;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
astorm;Alien Storm (World, 2 Players, FD1094 317-0154);Final Burn Alpha;;1990;Sega;;;;;;;;;;;
astorm;Alien Storm (World, 2 Players, FD1094 317-0154);MAME (Advance);;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astorm;Alien Storm (World, 2 Players, FD1094 317-0154);MAME 2003;;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astorm;Alien Storm (World, 2 Players, FD1094 317-0154);MAME 2003 PLUS;;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
