#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
astdelux;Asteroids Deluxe (rev 3);Final Burn Alpha;;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME (Advance);;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME 2003;;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME 2003 PLUS;;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME 2010;;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME 2015;;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME CURRENT;;1980;Atari;Shooter / Field;;;;;;;;;;
astdelux;Asteroids Deluxe (rev 3);MAME Mame4all;;1980;Atari;Shooter / Field;;;;;;;;;;
berzerk;Berzerk (set 1);Final Burn Alpha;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME (Advance);;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME 2003;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME 2003 PLUS;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME 2010;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME 2015;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME CURRENT;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
berzerk;Berzerk (set 1);MAME Mame4all;;1980;Stern Electronics;Maze / Shooter Small;;;;;;;;;;
bosco;Bosconian (new version);Final Burn Alpha;;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME (Advance);;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME 2003;;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME 2003 PLUS;;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME 2010;;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME 2015;;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME CURRENT;;1981;Namco;Shooter / Field;;;;;;;;;;
bosco;Bosconian (new version);MAME Mame4all;;1981;Namco;Shooter / Field;;;;;;;;;;
bubbles;Bubbles;Final Burn Alpha;;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME (Advance);;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME 2003;;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME 2003 PLUS;;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME 2010;;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME 2015;;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME CURRENT;;1982;Williams;Maze;;;;;;;;;;
bubbles;Bubbles;MAME Mame4all;;1982;Williams;Maze;;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;Final Burn Alpha;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME (Advance);;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME 2003;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME 2003 PLUS;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME 2010;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME 2015;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME CURRENT;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
buckrog;Buck Rogers Planet of Zoom;MAME Mame4all;;1982;Sega;Shooter / Flying (chase view);;;;;;;;;;
cloak;Cloak & Dagger (rev 5);Final Burn Alpha;;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME (Advance);;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME 2003;;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME 2003 PLUS;;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME 2010;;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME 2015;;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME CURRENT;;1983;Atari;Shooter / Field;;;;;;;;;;
cloak;Cloak & Dagger (rev 5);MAME Mame4all;;1983;Atari;Shooter / Field;;;;;;;;;;
defender;Defender (Red label);Final Burn Alpha;;1980;Williams;Shooter / Flying Horizontal;;;;;;;;;;
defender;Defender (Red label);MAME (Advance);;1980;Williams;Shooter / Flying Horizontal;;;;;;;;;;
defender;Defender (Red label);MAME 2003;;1980;Williams;Shooter / Flying Horizontal;;;;;;;;;;
defender;Defender (Red label);MAME 2003 PLUS;;1980;Williams;Shooter / Flying Horizontal;;;;;;;;;;
