#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
anteater;Anteater;Final Burn Alpha;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME Advance;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME 2003;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME 2003 PLUS;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME 2010;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME 2015;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME 2016;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME CURRENT;;1982;Tago Electronics;Maze;;;;;0;;;;;
anteater;Anteater;MAME Mame4all;;1982;Tago Electronics;Maze;;;;;0;;;;;
astrob;Astro Blaster (version 3);Final Burn Alpha;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME Advance;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME 2003;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME 2003 PLUS;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME 2010;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME 2015;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME 2016;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME CURRENT;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astrob;Astro Blaster (version 3);MAME Mame4all;;1981;Sega;Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;Final Burn Alpha;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME Advance;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME 2003;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME 2003 PLUS;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME 2010;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME 2015;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME 2016;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME CURRENT;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
astinvad;Astro Invader;MAME Mame4all;kamikaze;1980;Leijac Corporation (Stern Electronics license);Shooter / Gallery;;;;;0;;;;;
bagman;Bagman;Final Burn Alpha;;1982;Valadon Automation;Platform / Run Jump;;;;;0;;;;;
bagman;Bagman;MAME Advance;;1982;Valadon Automation;Platform / Run Jump;;;;;0;;;;;
bagman;Bagman;MAME 2003;;1982;Valadon Automation;Platform / Run Jump;;;;;0;;;;;
