#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME CURRENT;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME (Advance);;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME 2003;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME 2003 PLUS;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME 2010;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME 2015;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);MAME Mame4all;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);Final Burn Alpha;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
arabian;Arabian;MAME CURRENT;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;MAME (Advance);;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;MAME 2003;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;MAME 2003 PLUS;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;MAME 2010;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;MAME 2015;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;MAME Mame4all;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
arabian;Arabian;Final Burn Alpha;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
athena;Athena;MAME CURRENT;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;MAME (Advance);;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;MAME 2003;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;MAME 2003 PLUS;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;MAME 2010;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;MAME 2015;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;MAME Mame4all;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
athena;Athena;Final Burn Alpha;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME CURRENT;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME (Advance);;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME 2003;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME 2003 PLUS;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME 2010;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME 2015;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;MAME Mame4all;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;Final Burn Alpha;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME CURRENT;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME (Advance);;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME 2003;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME 2003 PLUS;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME 2010;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME 2015;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);MAME Mame4all;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);Final Burn Alpha;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
