#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
airbustr;Air Buster Trouble Specialty Raid Unit (World);Final Burn Alpha;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME (Advance);;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME 2003;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME 2003 PLUS;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME 2010;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME 2015;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME CURRENT;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
airbustr;Air Buster Trouble Specialty Raid Unit (World);MAME Mame4all;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);Final Burn Alpha;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME (Advance);;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME 2003;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME 2003 PLUS;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME 2010;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME 2015;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME CURRENT;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);MAME Mame4all;;1991;SNK;Shooter / Flying Vertical;;;;;0;;;;;
androdun;Andro Dunos (NGM-049)(NGH-049);Final Burn Alpha;;1992;Visco;Shooter / Flying Horizontal;;;;;0;;;;;
androdun;Andro Dunos (NGM-049)(NGH-049);MAME (Advance);;1992;Visco;Shooter / Flying Horizontal;;;;;0;;;;;
androdun;Andro Dunos (NGM-049)(NGH-049);MAME 2003;;1992;Visco;Shooter / Flying Horizontal;;;;;0;;;;;
