#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942 (Japan, USA);1942 (Japan, USA);Nintendo Entertainment System;;1986;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943 - The Battle of Midway (USA);1943 - The Battle of Midway (USA);Nintendo Entertainment System;;1988;Capcom;Shoot-'Em-Up;;;;;0;;;;;
Boy and His Blob, A - Trouble on Blobolonia (USA);Boy and His Blob, A - Trouble on Blobolonia (USA);Nintendo Entertainment System;;1990;Absolute Entertainment;Action;;;;;0;;;;;
Abadox - The Deadly Inner War (USA);Abadox - The Deadly Inner War (USA);Nintendo Entertainment System;;1990;Milton Bradley;Shoot-'Em-Up;;;;;0;;;;;
Advanced Dungeons & Dragons - Pool of Radiance (USA);Advanced Dungeons & Dragons - Pool of Radiance (USA);Nintendo Entertainment System;;1992;FCI, Inc.;Role-Playing;;;;;0;;;;;
Adventure Island (USA);Adventure Island (USA);Nintendo Entertainment System;;1988;Hudson;Platform;;;;;0;;;;;
Adventure Island II (USA);Adventure Island II (USA);Nintendo Entertainment System;;1992;Hudson;Platform;;;;;0;;;;;
Adventure Island 3 (USA);Adventure Island 3 (USA);Nintendo Entertainment System;;1992;Hudson;Platform;;;;;0;;;;;
Adventures of Dino Riki (USA);Adventures of Dino Riki (USA);Nintendo Entertainment System;;1989;Hudson Soft;Shooter;;;;;0;;;;;
Adventures of Lolo (USA);Adventures of Lolo (USA);Nintendo Entertainment System;;1989;HAL Labs;Puzzle;;;;;0;;;;;
Adventures of Lolo 2 (USA);Adventures of Lolo 2 (USA);Nintendo Entertainment System;;1990;HAL Labs;Puzzle;;;;;0;;;;;
Adventures of Lolo 3 (USA);Adventures of Lolo 3 (USA);Nintendo Entertainment System;;1991;HAL Labs;Puzzle;;;;;0;;;;;
Adventures of Rad Gravity, The (USA);Adventures of Rad Gravity, The (USA);Nintendo Entertainment System;;1990;Activision;Platform;;;;;0;;;;;
Adventures of Tom Sawyer (USA);Adventures of Tom Sawyer (USA);Nintendo Entertainment System;;1989;Seta Corporation;Action;;;;;0;;;;;
Archon (USA);Archon (USA);Nintendo Entertainment System;;1989;Activision;Board Games;;;;;0;;;;;
Arkanoid (USA);Arkanoid (USA);Nintendo Entertainment System;;1987;Taito Corporation;Breakout;;;;;0;;;;;
Arkanoid II (Japan);Arkanoid II (Japan);Nintendo Famicom;;1988;Taito Corporation;Breakout;;;;;0;;;;;
