#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Addams Family, The (USA, Europe);Addams Family, The (USA, Europe);Sega Genesis;;1994;Ocean;Platform;;;;;0;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);Sega Genesis;;1995;Clockwork Games;Platform;;;;;0;;;;;
Aero Blasters (Japan);Aero Blasters (Japan);Sega Mega Drive Japan;;1991;Kaneko;Shooter;2;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Sega Genesis;;1994;Koei;Strategy;;;;;0;;;;;
Aladdin (USA);Aladdin (USA);Sega Genesis;;1993;Virgin Interactive;Platform;;;;;0;;;;;
Alex Kidd in the Enchanted Castle (USA);Alex Kidd in the Enchanted Castle (USA);Sega Genesis;;1989;Sega;Platform;;;;;0;;;;;
Alien Soldier (Europe);Alien Soldier (Europe);Sega Genesis;;1995;Treasure;Platform;;;;;0;;;;;
Alien Storm (World);Alien Storm (World);Sega Genesis;;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
Alisia Dragoon (USA);Alisia Dragoon (USA);Sega Genesis;;1992;Game Arts;Platform;;;;;0;;;;;
Altered Beast (USA, Europe);Altered Beast (USA, Europe);Sega Genesis;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
Arrow Flash (USA, Europe);Arrow Flash (USA, Europe);Sega Genesis;;1990;Renovation;Shooter;;;;;0;;;;;
Atomic Runner (USA);Atomic Runner (USA);Sega Genesis;;1992;Data East;Shooter;;;;;0;;;;;
BattleTech - A Game of Armored Combat (USA);BattleTech - A Game of Armored Combat (USA);Sega Genesis;;1994;Malibu;Platform;;;;;0;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Sega Genesis;;1993;Rare;Beat-'Em-Up;;;;;0;;;;;
Beast Wrestler (USA);Beast Wrestler (USA);Sega Genesis;;1991;Renovation;Platform;;;;;0;;;;;
Beggar Prince (World) (Unl);Beggar Prince (World) (Unl);Sega Genesis;;2006;Super Fighter Team;Role-Playing;;;;;0;;;;;
Beyond Oasis (USA);Beyond Oasis (USA);Sega Genesis;;1994;Ancient;Role-Playing;;;;;0;;;;;
Bio Hazard Battle (USA, Europe);Bio Hazard Battle (USA, Europe);Sega Genesis;;1992;Sega;Shooter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon (Japan);Bishoujo Senshi Sailor Moon (Japan);Sega Mega Drive Japan;;1994;Angel, Ma-Ba;Action;2;;;;;;;;;
Bonanza Brothers (USA, Korea);Bonanza Brothers (USA, Korea);Sega Genesis;;1991;Sega;Platform;;;;;0;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman - A Pick and Flick Adventure (USA);Sega Genesis;;1994;Interplay;Platform;;;;;0;;;;;
Bubble and Squeak (USA);Bubble and Squeak (USA);Sega Genesis;;1994;Audiogenic;Platform;;;;;0;;;;;
Buck Rogers - Countdown to Doomsday (USA, Europe);Buck Rogers - Countdown to Doomsday (USA, Europe);Sega Genesis;;1991;SSI;Strategy;;;;;0;;;;;
Burning Force (USA);Burning Force (USA);Sega Genesis;;1990;Namco;Shooter;;;;;0;;;;;
Cannon Fodder (Europe);Cannon Fodder (Europe);Sega Genesis;;1994;Panelcomp;Platform;;;;;0;;;;;
Castle of Illusion Starring Mickey Mouse (USA, Europe);Castle of Illusion Starring Mickey Mouse (USA, Europe);Sega Genesis;;1990;Sega;Platform;;;;;0;;;;;
Castlevania - Bloodlines (USA);Castlevania - Bloodlines (USA);Sega Genesis;;1994;Konami;Platform;;;;;0;;;;;
Championship Pro-Am (USA);Championship Pro-Am (USA);Sega Genesis;;1992;Rare;Driving;;;;;0;;;;;
Chiki Chiki Boys (USA, Europe);Chiki Chiki Boys (USA, Europe);Sega Genesis;;1993;Capcom;Platform;;;;;0;;;;;
