#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Acrobat Mission (Japan);Acrobat Mission (Japan);Nintendo Super Famicom;;1992;Micronics;Shoot-'Em-Up;;;;;0;;;;;
ActRaiser (USA);ActRaiser (USA);Super Nintendo Entertainment System;;1991;Enix;Action;;;;;0;;;;;
ActRaiser 2 (USA);ActRaiser 2 (USA);Super Nintendo Entertainment System;;1993;Enix;Platform;;;;;0;;;;;
Addams Family, The (USA);Addams Family, The (USA);Super Nintendo Entertainment System;;1992;Ocean;Platform;;;;;0;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);Super Nintendo Entertainment System;;1994;Konami;Action;;;;;0;;;;;
Aero Fighters (USA);Aero Fighters (USA);Super Nintendo Entertainment System;;1994;Mc O'River;Shooter;;;;;0;;;;;
Aerobiz (USA);Aerobiz (USA);Super Nintendo Entertainment System;;1993;Koei;Strategy;;;;;0;;;;;
Aladdin (USA);Aladdin (USA);Super Nintendo Entertainment System;;1993;Capcom;Platform;;;;;0;;;;;
Alien 3 (USA);Alien 3 (USA);Super Nintendo Entertainment System;;1993;LJN Ltd.;Platform;;;;;0;;;;;
Animaniacs (USA);Animaniacs (USA);Super Nintendo Entertainment System;;1994;Konami;Platform;;;;;0;;;;;
Araiguma Rascal (Japan);Araiguma Rascal (Japan);Nintendo Super Famicom;;1994;J-Force;Puzzle;;;;;0;;;;;
Arcana (USA);Arcana (USA);Super Nintendo Entertainment System;;1992;Hal;Role-Playing;;;;;0;;;;;
Ardy Lightfoot (USA);Ardy Lightfoot (USA);Super Nintendo Entertainment System;;1996;Titus Software;Platform;;;;;0;;;;;
Uchuu Race - Astro Go! Go! (Japan);Uchuu Race - Astro Go! Go! (Japan);Nintendo Super Famicom;;1994;Kaze;Driving;;;;;0;;;;;
Axelay (USA);Axelay (USA);Super Nintendo Entertainment System;;1992;Konami;Shooter;;;;;0;;;;;
B.O.B. (USA);B.O.B. (USA);Super Nintendo Entertainment System;;1993;Electronic Arts;Action;;;;;0;;;;;
Bahamut Lagoon (Japan) (Translated En);Bahamut Lagoon (Japan) (Translated En);Nintendo Super Famicom;;1993;Squaresoft;Role-Playing;;;;;0;;;;;
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan);Bakutou Dochers - Bumps-jima wa Oosawagi (Japan);Nintendo Super Famicom;;1994;Genki;Action;;;;;0;;;;;
Batman Returns (USA);Batman Returns (USA);Super Nintendo Entertainment System;;1993;Konami;Fighter;;;;;0;;;;;
Battle Cross (Japan);Battle Cross (Japan);Nintendo Super Famicom;;1994;A-Max;Driving;;;;;0;;;;;
Battle Racers (Japan);Battle Racers (Japan);Nintendo Super Famicom;;1995;Minato Giken;Driving;;;;;0;;;;;
Biker Mice from Mars (USA);Biker Mice from Mars (USA);Super Nintendo Entertainment System;;1994;Konami;Driving;;;;;0;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Super Nintendo Entertainment System;;1993;Tradewest;Platform;;;;;0;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);Super Nintendo Entertainment System;;1993;Tradewest;Fighter;;;;;0;;;;;
BioMetal (USA);BioMetal (USA);Super Nintendo Entertainment System;;1993;Activision;Shooter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
Blackthorne (USA);Blackthorne (USA);Super Nintendo Entertainment System;;1995;Interplay;Platform;;;;;0;;;;;
BlaZeon - The Bio-Cyborg Challenge (USA);BlaZeon - The Bio-Cyborg Challenge (USA);Super Nintendo Entertainment System;;1992;Atlus;Shooter;;;;;0;;;;;
Bomber Man B-Daman (Japan);Bomber Man B-Daman (Japan);Nintendo Super Famicom;;1996;AI;Shoot-'Em-Up;;;;;0;;;;;
