#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3D Maze (Europe);3D Maze (Europe);Oric 1;;;;;;;;;;;;;;
4KKong (Europe) (Unl);4KKong (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Airline (Europe);Airline (Europe);Oric 1;;;;;;;;;;;;;;
Arena 3000 (Europe);Arena 3000 (Europe);Oric 1;;;;;;;;;;;;;;
Attack of the Cybermen (Europe);Attack of the Cybermen (Europe);Oric 1;;;;;;;;;;;;;;
Awari (Europe);Awari (Europe);Oric 1;;;;;;;;;;;;;;
Battle Flight 4 (Europe);Battle Flight 4 (Europe);Oric 1;;;;;;;;;;;;;;
Blockbuster (Europe) (Unl);Blockbuster (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Boss, The (Europe);Boss, The (Europe);Oric 1;;;;;;;;;;;;;;
Breakout (Compuden) (Europe);Breakout (Compuden) (Europe);Oric 1;;;;;;;;;;;;;;
Breakout-Machine (Europe) (Unl);Breakout-Machine (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Bricky (Europe);Bricky (Europe);Oric 1;;;;;;;;;;;;;;
BuggyBoy;BuggyBoy;Oric 1;;;;;;;;;;;;;;
Candyfloss (Europe);Candyfloss (Europe);Oric 1;;;;;;;;;;;;;;
Centipede (Europe);Centipede (Europe);Oric 1;;;;;;;;;;;;;;
Chess (IJK Software) (Europe);Chess (IJK Software) (Europe);Oric 1;;;;;;;;;;;;;;
Chess (Tansoft) (Europe);Chess (Tansoft) (Europe);Oric 1;;;;;;;;;;;;;;
Chess II (Europe);Chess II (Europe);Oric 1;;;;;;;;;;;;;;
Chopper (Severn Software) (Europe);Chopper (Severn Software) (Europe);Oric 1;;;;;;;;;;;;;;
Contract Bridge (Europe);Contract Bridge (Europe);Oric 1;;;;;;;;;;;;;;
Crabes (Europe) (Unl);Crabes (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Cribbage (Europe);Cribbage (Europe);Oric 1;;;;;;;;;;;;;;
Dallas (Europe);Dallas (Europe);Oric 1;;;;;;;;;;;;;;
Damsel in Distress (Europe);Damsel in Distress (Europe);Oric 1;;;;;;;;;;;;;;
Death Driver (Europe);Death Driver (Europe);Oric 1;;;;;;;;;;;;;;
Dexterite (Europe);Dexterite (Europe);Oric 1;;;;;;;;;;;;;;
Dinky Kong (Europe);Dinky Kong (Europe);Oric 1;;;;;;;;;;;;;;
Don Juan (Europe);Don Juan (Europe);Oric 1;;;;;;;;;;;;;;
Dracula's Revenge (Europe);Dracula's Revenge (Europe);Oric 1;;;;;;;;;;;;;;
Draughts (Europe);Draughts (Europe);Oric 1;;;;;;;;;;;;;;
Driver (Tansoft) (Europe);Driver (Tansoft) (Europe);Oric 1;;;;;;;;;;;;;;
Elektro Storm (Europe);Elektro Storm (Europe);Oric 1;;;;;;;;;;;;;;
Fantasy Quest (Europe);Fantasy Quest (Europe);Oric 1;;;;;;;;;;;;;;
Fire Flash (Europe);Fire Flash (Europe);Oric 1;;;;;;;;;;;;;;
Flight 401 (Europe);Flight 401 (Europe);Oric 1;;;;;;;;;;;;;;
Flight Simulator (Europe);Flight Simulator (Europe);Oric 1;;;;;;;;;;;;;;
Flight Simulator (Europe) (Unl);Flight Simulator (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Football Manager (Europe);Football Manager (Europe);Oric 1;;;;;;;;;;;;;;
Frigate Commander (Europe);Frigate Commander (Europe);Oric 1;;;;;;;;;;;;;;
Frog-Hop! (Europe);Frog-Hop! (Europe);Oric 1;;;;;;;;;;;;;;
Galaxians (Europe);Galaxians (Europe);Oric 1;;;;;;;;;;;;;;
Ghost Gobbler (Europe);Ghost Gobbler (Europe);Oric 1;;;;;;;;;;;;;;
Ghostman (Europe);Ghostman (Europe);Oric 1;;;;;;;;;;;;;;
Gravitor (Europe);Gravitor (Europe);Oric 1;;;;;;;;;;;;;;
Green Cross Toad (Europe);Green Cross Toad (Europe);Oric 1;;;;;;;;;;;;;;
Hangman (UTS) (Europe);Hangman (UTS) (Europe);Oric 1;;;;;;;;;;;;;;
Harrier Attack (Europe);Harrier Attack (Europe);Oric 1;;;;;;;;;;;;;;
Hell's Temple (Europe);Hell's Temple (Europe);Oric 1;;;;;;;;;;;;;;
Hellion, The (Europe);Hellion, The (Europe);Oric 1;;;;;;;;;;;;;;
Hobbit, The (Europe);Hobbit, The (Europe);Oric 1;;;;;;;;;;;;;;
Hollywood Director (Europe);Hollywood Director (Europe);Oric 1;;;;;;;;;;;;;;
Hop Frog (Europe);Hop Frog (Europe);Oric 1;;;;;;;;;;;;;;
Hopper (Europe);Hopper (Europe);Oric 1;;;;;;;;;;;;;;
House of Death (Europe);House of Death (Europe);Oric 1;;;;;;;;;;;;;;
Hunchback (Europe);Hunchback (Europe);Oric 1;;;;;;;;;;;;;;
Ice Giant (Europe);Ice Giant (Europe);Oric 1;;;;;;;;;;;;;;
Insect Insanity (Europe);Insect Insanity (Europe);Oric 1;;;;;;;;;;;;;;
Island of Death (Europe);Island of Death (Europe);Oric 1;;;;;;;;;;;;;;
Jogger (Europe);Jogger (Europe);Oric 1;;;;;;;;;;;;;;
Johnny Reb (Europe);Johnny Reb (Europe);Oric 1;;;;;;;;;;;;;;
Karate (Europe);Karate (Europe);Oric 1;;;;;;;;;;;;;;
Keys of Kraal, The (Europe) (Unl);Keys of Kraal, The (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Kilburn Encounter (Europe);Kilburn Encounter (Europe);Oric 1;;;;;;;;;;;;;;
Krillys (Europe);Krillys (Europe);Oric 1;;;;;;;;;;;;;;
Land of Illusion (Europe);Land of Illusion (Europe);Oric 1;;;;;;;;;;;;;;
Las Vegas High (Europe) (Unl);Las Vegas High (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Light Cycle (Europe);Light Cycle (Europe);Oric 1;;;;;;;;;;;;;;
Loki (Europe) (Unl);Loki (Europe) (Unl);Oric 1;;;;;;;;;;;;;;
Lone Raider (Europe);Lone Raider (Europe);Oric 1;;;;;;;;;;;;;;
Luna Landa (Europe);Luna Landa (Europe);Oric 1;;;;;;;;;;;;;;
Lunar Lander (Durell Software) (Europe);Lunar Lander (Durell Software) (Europe);Oric 1;;;;;;;;;;;;;;
M.A.R.C. (Europe);M.A.R.C. (Europe);Oric 1;;;;;;;;;;;;;;
Manic Miner (Europe);Manic Miner (Europe);Oric 1;;;;;;;;;;;;;;
Mined Out (Europe);Mined Out (Europe);Oric 1;;;;;;;;;;;;;;
Miner (Europe);Miner (Europe);Oric 1;;;;;;;;;;;;;;
Mines Of Moria, The (Europe);Mines Of Moria, The (Europe);Oric 1;;;;;;;;;;;;;;
Mission Impossible (Europe);Mission Impossible (Europe);Oric 1;;;;;;;;;;;;;;
Moon Buggy (Europe);Moon Buggy (Europe);Oric 1;;;;;;;;;;;;;;
Mr Wimpy (Europe);Mr Wimpy (Europe);Oric 1;;;;;;;;;;;;;;
