#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020 Super Baseball (World);2020 Super Baseball (World);SNK Neo Geo CD;;1995;SNK;Sports/Baseball;;;;;0;;;;;
3 Count Bout (World);3 Count Bout (World);SNK Neo Geo CD;;1995;SNK;Sports/Wrestling;;;;;0;;;;;
ADK World (Japan);ADK World (Japan);SNK Neo Geo CD;;1995;ADK;Mini-Games;;;;;0;;;;;
Aero Fighters 2 (World);Aero Fighters 2 (World);SNK Neo Geo CD;;1994;Video System;Shoot-'Em-Up;;;;;0;;;;;
Aero Fighters 3 (World);Aero Fighters 3 (World);SNK Neo Geo CD;;1995;Video System;Shoot-'Em-Up;;;;;0;;;;;
Aggressors of Dark Kombat (World);Aggressors of Dark Kombat (World);SNK Neo Geo CD;;1995;ADK;Fighter;;;;;0;;;;;
Alpha Mission II (World);Alpha Mission II (World);SNK Neo Geo CD;;1994;SNK;Shoot-'Em-Up;;;;;0;;;;;
Andro Dunos (World) (Unl);Andro Dunos (World) (Unl);SNK Neo Geo CD;;2013;Neo Conception International;Shoot-'Em-Up;;;;;0;;;;;
Art of Fighting (World);Art of Fighting (World);SNK Neo Geo CD;;1994;SNK;Fighter;;;;;0;;;;;
Art of Fighting 2 (World);Art of Fighting 2 (World);SNK Neo Geo CD;;1994;SNK;Fighter;;;;;0;;;;;
Art of Fighting 3 - The Path of the Warrior (World);Art of Fighting 3 - The Path of the Warrior (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Bang Bang Busters (World) (Unl);Bang Bang Busters (World) (Unl);SNK Neo Geo CD;;2012;Neo Conception International;Platform;;;;;0;;;;;
Baseball Stars 2 (World);Baseball Stars 2 (World);SNK Neo Geo CD;;1994;SNK;Sports/Baseball;;;;;0;;;;;
Baseball Stars Professional (World);Baseball Stars Professional (World);SNK Neo Geo CD;;1995;SNK;Sports/Baseball;;;;;0;;;;;
Blue's Journey (World);Blue's Journey (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Breakers (Japan);Breakers (Japan);SNK Neo Geo CD;;1997;Visco;Fighter;;;;;0;;;;;
Breakers (World);Breakers (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Burning Fight (World);Burning Fight (World);SNK Neo Geo CD;;1994;SNK;Beat-'Em-Up;;;;;0;;;;;
Bust-A-Move (World);Bust-A-Move (World);SNK Neo Geo CD;;1995;Taito;Puzzle;;;;;0;;;;;
Choutetsu Brikin'ger (Japan);Choutetsu Brikin'ger (Japan);SNK Neo Geo CD;;1996;Saurus;Shoot-'Em-Up;;;;;0;;;;;
Crossed Swords (Japan);Crossed Swords (Japan);SNK Neo Geo CD;;1994;ADK;Beat-'Em-Up;;;;;0;;;;;
Crossed Swords (World);Crossed Swords (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Crossed Swords II (Japan);Crossed Swords II (Japan);SNK Neo Geo CD;;1995;ADK;Beat-'Em-Up;;;;;0;;;;;
Crossed Swords II (World);Crossed Swords II (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Cyber-Lip (World);Cyber-Lip (World);SNK Neo Geo CD;;1995;SNK;Shooter;;;;;0;;;;;
Double Dragon (World);Double Dragon (World);SNK Neo Geo CD;;1995;Technos;Fighter;;;;;0;;;;;
Fatal Fury - The Battle of Fury (World);Fatal Fury - The Battle of Fury (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Fatal Fury 2 (World);Fatal Fury 2 (World);SNK Neo Geo CD;;1994;SNK;Fighter;;;;;0;;;;;
Fatal Fury 3 - Road to the Final Victory (World);Fatal Fury 3 - Road to the Final Victory (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Fatal Fury Special (World);Fatal Fury Special (World);SNK Neo Geo CD;;1994;SNK;Fighter;;;;;0;;;;;
Fatal Fury - The Battle of Fury (World);Fatal Fury: The Battle of Fury (World);SNK Neo Geo CD;;1994;SNK;Fighter;;;;;0;;;;;
Fighter's History Dynamite (World);Fighter's History Dynamite (World);SNK Neo Geo CD;;1994;Data East;Fighter;;;;;0;;;;;
Football Frenzy (World);Football Frenzy (World);SNK Neo Geo CD;;1994;SNK;Sports/Football;;;;;0;;;;;
Futsal - 5 on 5 Mini Soccer (Japan);Futsal: 5 on 5 Mini Soccer (Japan);SNK Neo Geo CD;;1996;Saurus;Sports/Soccer;;;;;0;;;;;
Galaxy Fight - Universal Warriors (World);Galaxy Fight - Universal Warriors (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Ghost Pilots (World);Ghost Pilots (World);SNK Neo Geo CD;;1995;SNK;Shoot-'Em-Up;;;;;0;;;;;
Idol Mahjong Final Romance 2 (Japan);Idol Mahjong Final Romance 2 (Japan);SNK Neo Geo CD;;1995;Video System;Mahjong;;;;;0;;;;;
Ironclad (World);Ironclad (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Janshin Densetsu - Quest of Jongmaster (Japan);Janshin Densetsu: Quest of Jongmaster (Japan);SNK Neo Geo CD;;1995;Aicom;Mahjong;;;;;0;;;;;
Kabuki Klash (World);Kabuki Klash (World);SNK Neo Geo CD;;;;;;;;;;;;;;
Karnov's Revenge (World);Karnov's Revenge (World);SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters '94, The (World);King of Fighters '94, The (World);SNK Neo Geo CD;;1994;SNK;Fighter;;;;;0;;;;;
King of Fighters '95, The (World);King of Fighters '95, The (World);SNK Neo Geo CD;;1995;SNK;Fighter;;;;;0;;;;;
King of Fighters '96, The (World);King of Fighters '96, The (World);SNK Neo Geo CD;;1996;SNK;Fighter;;;;;0;;;;;
King of Fighters '97, The (World);King of Fighters '97, The (World);SNK Neo Geo CD;;1997;SNK;Fighter;;;;;0;;;;;
King of Fighters '98, The - The Slugfest (World);King of Fighters '98, The - The Slugfest (World);SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters '99, The - Millennium Battle (World);King of Fighters '99, The - Millennium Battle (World);SNK Neo Geo CD;;;;;;;;;;;;;;
