#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
+Start Reicast;+Start Reicast;Sega Dreamcast;;;;;;;;;;;;;;
102 Dalmatians - Puppies to the Rescue (USA);102 Dalmatians: Puppies to the Rescue (USA);Sega Dreamcast;;2000;Eidos Interactive;Platform;;;;;0;;;;;
18 Wheeler - American Pro Trucker (USA);18 Wheeler: American Pro Trucker (USA);Sega Dreamcast;;2001;Sega;Driving;;;;;0;;;;;
4 Wheel Thunder (USA);4 Wheel Thunder (USA);Sega Dreamcast;;2000;Midway;Driving;;;;;0;;;;;
4x4 Evolution (USA);4x4 Evolution (USA);Sega Dreamcast;;2000;Gathering of Developers;Driving;;;;;0;;;;;
90 Minutes - Sega Championship Football (Europe);90 Minutes: Sega Championship Football (Europe);Sega Dreamcast;;2001;Sega;Sports/Soccer;;;;;0;;;;;
Advanced Daisenryaku 2001 (Japan) (Translated En);Advanced Daisenryaku 2001 (Japan) (Translated En);Sega Dreamcast;;2001;Sega;Strategy;;;;;0;;;;;
AeroWings (USA);AeroWings (USA);Sega Dreamcast;;1999;Crave Entertainment;Flying;;;;;0;;;;;
AeroWings 2 - Airstrike (USA);AeroWings 2: Airstrike (USA);Sega Dreamcast;;2000;Crave Entertainment;Flying;;;;;0;;;;;
AirForce Delta (USA);AirForce Delta (USA);Sega Dreamcast;;1999;Konami;Flying;;;;;0;;;;;
Alice's Mom's Rescue (World) (Unl);Alice's Mom's Rescue (World) (Unl);Sega Dreamcast;;2015;Hucast;Platform;;;;;0;;;;;
Alien Front Online (USA);Alien Front Online (USA);Sega Dreamcast;;2001;Sega;Shooter;;;;;0;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 1);Alone in the Dark: The New Nightmare (USA) (Disc 1);Sega Dreamcast;;2001;Infogrames;Adventure;;;;;0;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 2);Alone in the Dark: The New Nightmare (USA) (Disc 2);Sega Dreamcast;;2001;Infogrames;Adventure;;;;;0;;;;;
Aqua GT (Europe);Aqua GT (Europe);Sega Dreamcast;;2000;Take 2 Interactive;Water;;;;;0;;;;;
Armada (USA);Armada (USA);Sega Dreamcast;;1999;Metro3D;Shoot-'Em-Up;;;;;0;;;;;
Army Men - Sarge's Heroes (USA);Army Men: Sarge's Heroes (USA);Sega Dreamcast;;2000;Midway;Shooter;;;;;0;;;;;
Atari Anniversary Edition (USA);Atari Anniversary Edition (USA);Sega Dreamcast;;2001;Infogrames;Compilation;;;;;0;;;;;
Bang! Gunship Elite (USA);Bang! Gunship Elite (USA);Sega Dreamcast;;2000;Red Storm Entertainment;Shooter;;;;;0;;;;;
Bangai-O (USA);Bangai-O (USA);Sega Dreamcast;;2001;Crave Entertainment;Shoot-'Em-Up;;;;;0;;;;;
BassRush Dream - Ecogear PowerWorm Championship (Japan);BassRush Dream: Ecogear PowerWorm Championship (Japan);Sega Dreamcast;;2000;Visco;Sports/Fishing;;;;;0;;;;;
Biohazard - Code - Veronica - Kanzenban (Japan) (Translated En) (Disc 1);Biohazard: Code: Veronica: Kanzenban (Japan) (Translated En) (Disc 1);Sega Dreamcast;;2001;Capcom;Adventure;;;;;0;;;;;
Biohazard - Code - Veronica - Kanzenban (Japan) (Translated En) (Disc 2);Biohazard: Code: Veronica: Kanzenban (Japan) (Translated En) (Disc 2);Sega Dreamcast;;2001;Capcom;Adventure;;;;;0;;;;;
Blue Stinger (USA);Blue Stinger (USA);Sega Dreamcast;;1999;Activision;Adventure;;;;;0;;;;;
Boku no Tennis Jinsei (Japan);Boku no Tennis Jinsei (Japan);Sega Dreamcast;;2001;Bimboosoft;Sports/Tennis;;;;;0;;;;;
Bomber Hehhe! (Japan);Bomber Hehhe! (Japan);Sega Dreamcast;;2002;Fujicom;Puzzle;;;;;0;;;;;
Bomberman Online (USA);Bomberman Online (USA);Sega Dreamcast;;2001;Hudson;Maze;;;;;0;;;;;
Border Down (Japan);Border Down (Japan);Sega Dreamcast;;2003;G.rev;Shoot-'Em-Up;;;;;0;;;;;
Bust-A-Move 4 (USA);Bust-A-Move 4 (USA);Sega Dreamcast;;2000;Acclaim Entertainment;Puzzle;;;;;0;;;;;
Buzz Lightyear of Star Command (USA);Buzz Lightyear of Star Command (USA);Sega Dreamcast;;2000;Activision;Platform;;;;;0;;;;;
C.A.R.T. - Flag to Flag (USA);C.A.R.T.: Flag to Flag (USA);Sega Dreamcast;;1999;Sega;Driving;;;;;0;;;;;
Caesars Palace 2000 - Millennium Gold Edition (USA);Caesars Palace 2000: Millennium Gold Edition (USA);Sega Dreamcast;;2000;Interplay;Casino;;;;;0;;;;;
Cannon Spike (USA);Cannon Spike (USA);Sega Dreamcast;;2000;Capcom;Shooter;;;;;0;;;;;
Capcom vs. SNK 2 - Millionaire Fighting 2001 (Japan);Capcom vs. SNK 2: Millionaire Fighting 2001 (Japan);Sega Dreamcast;;2001;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK - Millennium Fight 2000 (USA);Capcom vs. SNK: Millennium Fight 2000 (USA);Sega Dreamcast;;2000;Capcom;Fighter;;;;;0;;;;;
Capcom vs. SNK - Millennium Fight 2000 Pro (Japan);Capcom vs. SNK: Millennium Fight 2000 Pro (Japan);Sega Dreamcast;;2001;Capcom;Fighter;;;;;0;;;;;
Carrier (USA);Carrier (USA);Sega Dreamcast;;2000;Jaleco Entertainment;Adventure;;;;;0;;;;;
Centipede (USA);Centipede (USA);Sega Dreamcast;;1999;Hasbro Interactive;Shoot-'Em-Up;;;;;0;;;;;
Championship Surfer (USA);Championship Surfer (USA);Sega Dreamcast;;2000;Mattel Interactive;Sports/Surfing;;;;;0;;;;;
Chaos Field (Japan);Chaos Field (Japan);Sega Dreamcast;;2004;Milestone;Shoot-'Em-Up;;;;;0;;;;;
Charge 'n Blast (USA);Charge 'n Blast (USA);Sega Dreamcast;;2001;Xicat Interactive;Shooter;;;;;0;;;;;
Chicken Run (USA);Chicken Run (USA);Sega Dreamcast;;2000;Eidos Interactive;Adventure;;;;;0;;;;;
Chu Chu Rocket! (USA);Chu Chu Rocket! (USA);Sega Dreamcast;;;;;;;;;;;;;;
ChuChu Rocket! (USA);ChuChu Rocket! (USA);Sega Dreamcast;;2000;Sega;Puzzle;;;;;0;;;;;
Cleopatra Fortune (Japan);Cleopatra Fortune (Japan);Sega Dreamcast;;2001;Altron;Puzzle;;;;;0;;;;;
Coaster Works (USA);Coaster Works (USA);Sega Dreamcast;;2000;Xicat Interactive;Simulation;;;;;0;;;;;
Confidential Mission (USA);Confidential Mission (USA);Sega Dreamcast;;2001;Sega;Gun;;;;;0;;;;;
Conflict Zone - Modern War Strategy (USA);Conflict Zone: Modern War Strategy (USA);Sega Dreamcast;;2001;Ubisoft;Strategy;;;;;0;;;;;
Cool Cool Toon (Japan);Cool Cool Toon (Japan);Sega Dreamcast;;2000;SNK;Rhythm;;;;;0;;;;;
Cool Herders (World) (Unl);Cool Herders (World) (Unl);Sega Dreamcast;;2005;GOAT Store;Maze;;;;;0;;;;;
Cosmic Smash (Japan);Cosmic Smash (Japan);Sega Dreamcast;;2001;Sega;Sports/Futuristic;;;;;0;;;;;
Crazy Taxi (USA);Crazy Taxi (USA);Sega Dreamcast;;2000;Sega;Driving;;;;;0;;;;;
Crazy Taxi 2 (USA);Crazy Taxi 2 (USA);Sega Dreamcast;;2001;Sega;Driving;;;;;0;;;;;
Cyber Troopers - Virtual On - Oratorio Tangram (USA);Cyber Troopers: Virtual On: Oratorio Tangram (USA);Sega Dreamcast;;2000;Activision;Fighter;;;;;0;;;;;
D2 (USA) (Disc 1);D2 (USA) (Disc 1);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
D2 (USA) (Disc 2);D2 (USA) (Disc 2);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
D2 (USA) (Disc 3);D2 (USA) (Disc 3);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
D2 (USA) (Disc 4);D2 (USA) (Disc 4);Sega Dreamcast;;2000;Sega;Adventure;;;;;0;;;;;
DUX (World) (Unl);DUX (World) (Unl);Sega Dreamcast;;2009;Hucast;Shoot-'Em-Up;;;;;0;;;;;
DUX - Version 1.5 (World) (Unl);DUX: Version 1.5 (World) (Unl);Sega Dreamcast;;2013;Hucast;Shoot-'Em-Up;;;;;0;;;;;
Dance Dance Revolution 2nd Mix - Dreamcast Edition (Japan);Dance Dance Revolution 2nd Mix: Dreamcast Edition (Japan);Sega Dreamcast;;2000;Konami;Rhythm;;;;;0;;;;;
Dance Dance Revolution Club Version - Dreamcast Edition (Japan);Dance Dance Revolution Club Version: Dreamcast Edition (Japan);Sega Dreamcast;;2000;Konami;Rhythm;;;;;0;;;;;
Dave Mirra Freestyle BMX (USA);Dave Mirra Freestyle BMX (USA);Sega Dreamcast;;2000;Acclaim;Sports/Biking;;;;;0;;;;;
Daytona USA (USA);Daytona USA (USA);Sega Dreamcast;;2001;Sega;Driving;;;;;0;;;;;
Dead or Alive 2 (USA);Dead or Alive 2 (USA);Sega Dreamcast;;2000;Tecmo;Fighter;;;;;0;;;;;
