#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1genh1;1genh1;Sega Genesis Hacks;;;;;;;;;;;;;;
Altered Beast (Alternate Style);Altered Beast (Alternate Style);Sega Genesis Hacks;;;;;;;;;;;;;;
Altered Beast (Hack);Altered Beast (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Altered Beast with Arcade Voice Samples;Altered Beast with Arcade Voice Samples;Sega Genesis Hacks;;;;;;;;;;;;;;
Amy Rose In Sonic The Hedgehog;Amy Rose In Sonic The Hedgehog;Sega Genesis Hacks;;;;;;;;;;;;;;
Amy Rose In Sonic The Hedgehog (Hack);Amy Rose In Sonic The Hedgehog (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Amy Rose In Sonic The Hedgehog 2;Amy Rose In Sonic The Hedgehog 2;Sega Genesis Hacks;;;;;;;;;;;;;;
Amy Rose In Sonic The Hedgehog 2 (Hack);Amy Rose In Sonic The Hedgehog 2 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Angry Birds;Angry Birds;Sega Genesis Hacks;;;;;;;;;;;;;;
Angry Birds (Hack);Angry Birds (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Angry Birds - Star Wars;Angry Birds - Star Wars;Sega Genesis Hacks;;;;;;;;;;;;;;
Angry Birds - Star Wars (Hack);Angry Birds - Star Wars (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Baby's Day Out (Hack);Baby's Day Out (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
BakaSonic;BakaSonic;Sega Genesis Hacks;;;;;;;;;;;;;;
BakaSonic (Hack);BakaSonic (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Barbie Vacation Adventure (Hack);Barbie Vacation Adventure (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Battle Squadron (Hack);Battle Squadron (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Battletoads and Double Dragon (Hack);Battletoads and Double Dragon (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Battletoads and Double Dragon (Smash hits sounds);Battletoads and Double Dragon (Smash hits sounds);Sega Genesis Hacks;;;;;;;;;;;;;;
Battletoads and Double Dragon L7;Battletoads and Double Dragon L7;Sega Genesis Hacks;;;;;;;;;;;;;;
Battletoads and Double Dragon L7 (Smash hits sounds);Battletoads and Double Dragon L7 (Smash hits sounds);Sega Genesis Hacks;;;;;;;;;;;;;;
Beast Ball (Hack);Beast Ball (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Beyond Zero Tolerance (Hack);Beyond Zero Tolerance (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Blue Sphere Plus;Blue Sphere Plus;Sega Genesis Hacks;;;;;;;;;;;;;;
Blue Sphere Plus (Hack);Blue Sphere Plus (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Bunnie Rabbot In Sonic The Hedgehog;Bunnie Rabbot In Sonic The Hedgehog;Sega Genesis Hacks;;;;;;;;;;;;;;
Bunnie Rabbot In Sonic The Hedgehog (Hack);Bunnie Rabbot In Sonic The Hedgehog (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Butt Babies & Tranny Tramps - Abnormal Family;Butt Babies & Tranny Tramps - Abnormal Family;Sega Genesis Hacks;;;;;;;;;;;;;;
Butt Babies & Tranny Tramps - Abnormal Family (Hack);Butt Babies & Tranny Tramps - Abnormal Family (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Charmy In Sonic 1;Charmy In Sonic 1;Sega Genesis Hacks;;;;;;;;;;;;;;
Charmy In Sonic 1 (Hack);Charmy In Sonic 1 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
ChimpoQ!;ChimpoQ!;Sega Genesis Hacks;;;;;;;;;;;;;;
ChimpoQ! (Hack);ChimpoQ! (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Chip McCallahan in Sonic the Hedgehog;Chip McCallahan in Sonic the Hedgehog;Sega Genesis Hacks;;;;;;;;;;;;;;
Chip McCallahan in Sonic the Hedgehog (Hack);Chip McCallahan in Sonic the Hedgehog (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Chip McCallahan in Sonic the Hedgehog 2;Chip McCallahan in Sonic the Hedgehog 2;Sega Genesis Hacks;;;;;;;;;;;;;;
Chip McCallahan in Sonic the Hedgehog 2 (Hack);Chip McCallahan in Sonic the Hedgehog 2 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Combat Aces (Hack);Combat Aces (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Command & Conquer (Hack);Command & Conquer (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Congo - The Game (Hack);Congo - The Game (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Contra - Hard Corps (Enhanced Edition);Contra - Hard Corps (Enhanced Edition);Sega Genesis Hacks;;;;;;;;;;;;;;
Contra - Hard Corps (Hack);Contra - Hard Corps (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
CrazyBus (Hack);CrazyBus (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Curse (Hack);Curse (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Danny Sullivan's Indy Heat (Hack);Danny Sullivan's Indy Heat (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Davis Cup World Tour Tennis 2 (Hack);Davis Cup World Tour Tennis 2 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Death Caliber (Hack);Death Caliber (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Death Duel (Hack);Death Duel (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Doctor Robotniks Creature Capture;Doctor Robotniks Creature Capture;Sega Genesis Hacks;;;;;;;;;;;;;;
Doctor Robotniks Creature Capture (Hack);Doctor Robotniks Creature Capture (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Dominus (Hack);Dominus (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Dragon's Lair (Hack);Dragon's Lair (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Earth Defense (Hack);Earth Defense (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Eggman in Sonic 1;Eggman in Sonic 1;Sega Genesis Hacks;;;;;;;;;;;;;;
Eggman in Sonic 1 (Hack);Eggman in Sonic 1 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
El Viento (Hack);El Viento (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Elf Wor (Hack);Elf Wor (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Exodus (Hack);Exodus (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
FIFA 2000 - Gold Edition (Hack);FIFA 2000 - Gold Edition (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
FIFA Soccer 99 (Hack);FIFA Soccer 99 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Fido Dido (Hack);Fido Dido (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Fix it Felix Jr (Hack);Fix it Felix Jr (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Flash Point (Hack);Flash Point (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Funny World & Balloon Boy (Hack);Funny World & Balloon Boy (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Golden Axe 2 - Enhanced Colors;Golden Axe 2 - Enhanced Colors;Sega Genesis Hacks;;;;;;;;;;;;;;
Golden Axe 2 - Enhanced Colors (Hack);Golden Axe 2 - Enhanced Colors (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Golden Axe Color Hack;Golden Axe Color Hack;Sega Genesis Hacks;;;;;;;;;;;;;;
Golden Axe Color Hack (Hack);Golden Axe Color Hack (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Harry Potter (Hack);Harry Potter (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Hercules (Hack);Hercules (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Huan Le Tao Qi Shu - Smart Mouse (Hack);Huan Le Tao Qi Shu - Smart Mouse (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Jelly Boy (Hack);Jelly Boy (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Jesse 'The Body' Ventura Wrestling Superstars (Hack);Jesse 'The Body' Ventura Wrestling Superstars (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Jester's Challenge;Jester's Challenge;Sega Genesis Hacks;;;;;;;;;;;;;;
Jester's Challenge (Hack);Jester's Challenge (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Jim Power - The Arcade Game (Hack);Jim Power - The Arcade Game (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Joshua & the Battle of Jericho (Hack);Joshua & the Battle of Jericho (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Killing Game Show, The - 1993 Remix (Hack);Killing Game Show, The - 1993 Remix (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Kirby in Sonic The Hedgehog;Kirby in Sonic The Hedgehog;Sega Genesis Hacks;;;;;;;;;;;;;;
Kirby in Sonic the Hedgehog 2;Kirby in Sonic the Hedgehog 2;Sega Genesis Hacks;;;;;;;;;;;;;;
Kirby in Sonic the Hedgehog 2 (Hack);Kirby in Sonic the Hedgehog 2 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Knuckles In Sonic the Hedgehog (Hack);Knuckles In Sonic the Hedgehog (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Knuckles the Echidna in Sonic the Hedgehog;Knuckles the Echidna in Sonic the Hedgehog;Sega Genesis Hacks;;;;;;;;;;;;;;
Knuckles' Emerald Hunt;Knuckles' Emerald Hunt;Sega Genesis Hacks;;;;;;;;;;;;;;
Knuckles' Emerald Hunt (Hack);Knuckles' Emerald Hunt (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Lobo (Hack);Lobo (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mallet Legend's Whac-A-Critter (Hack);Mallet Legend's Whac-A-Critter (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mecha Sonic in Sonic 1;Mecha Sonic in Sonic 1;Sega Genesis Hacks;;;;;;;;;;;;;;
Mecha Sonic in Sonic 1 (Hack);Mecha Sonic in Sonic 1 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic Hyperdrive;Metal Sonic Hyperdrive;Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic Hyperdrive (Hack);Metal Sonic Hyperdrive (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic in Sonic the Hedgehog (Hack);Metal Sonic in Sonic the Hedgehog (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic in Sonic the Hedgehog 2;Metal Sonic in Sonic the Hedgehog 2;Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic in Sonic the Hedgehog 2 (Hack);Metal Sonic in Sonic the Hedgehog 2 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic in Sonic the Hedgehog 3 & Knuckles;Metal Sonic in Sonic the Hedgehog 3 & Knuckles;Sega Genesis Hacks;;;;;;;;;;;;;;
Metal Sonic in Sonic the Hedgehog 3 & Knuckles (Hack);Metal Sonic in Sonic the Hedgehog 3 & Knuckles (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Might and Magic III - Isles of Terra (Hack);Might and Magic III - Isles of Terra (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mighty In Sonic 1;Mighty In Sonic 1;Sega Genesis Hacks;;;;;;;;;;;;;;
Mighty In Sonic 1 (Hack);Mighty In Sonic 1 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mighty Morphin Power Rangers The Movie - Enhanced Colors;Mighty Morphin Power Rangers The Movie - Enhanced Colors;Sega Genesis Hacks;;;;;;;;;;;;;;
Mighty Morphin Power Rangers The Movie - Enhanced Colors (Hack);Mighty Morphin Power Rangers The Movie - Enhanced Colors (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mobius Adventures;Mobius Adventures;Sega Genesis Hacks;;;;;;;;;;;;;;
Mobius Evolution;Mobius Evolution;Sega Genesis Hacks;;;;;;;;;;;;;;
Mobius Evolution (Hack);Mobius Evolution (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mondu's Fight Palace (Hack);Mondu's Fight Palace (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
More Than a Memory - A Perfect Existence;More Than a Memory - A Perfect Existence;Sega Genesis Hacks;;;;;;;;;;;;;;
More Than a Memory - A Perfect Existence (Hack);More Than a Memory - A Perfect Existence (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat  Dullard Cheat Menu Enhancement;Mortal Kombat  Dullard Cheat Menu Enhancement;Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat II - Ultimate (Hack);Mortal Kombat II - Ultimate (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat II - Ultimate (X);Mortal Kombat II - Ultimate (X);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat II Unlimited (Hack);Mortal Kombat II Unlimited (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat II Unlimited - Enhanced Colors;Mortal Kombat II Unlimited - Enhanced Colors;Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat III - Revelations (Hack);Mortal Kombat III - Revelations (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat III - Revelations (X);Mortal Kombat III - Revelations (X);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat III - Ultimate MK3 Trilogy (Hack);Mortal Kombat III - Ultimate MK3 Trilogy (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat III - Ultimate MK3 Trilogy (X);Mortal Kombat III - Ultimate MK3 Trilogy (X);Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat Revelations;Mortal Kombat Revelations;Sega Genesis Hacks;;;;;;;;;;;;;;
Mortal Kombat Revelations (Hack);Mortal Kombat Revelations (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Motobug the Badnik in Sonic the Hedgehog;Motobug the Badnik in Sonic the Hedgehog;Sega Genesis Hacks;;;;;;;;;;;;;;
Motobug the Badnik in Sonic the Hedgehog (Hack);Motobug the Badnik in Sonic the Hedgehog (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mr. Needlemouse (Hack);Mr. Needlemouse (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mr. Needlemouse (hack).bin;Mr. Needlemouse (hack).bin;Sega Genesis Hacks;;;;;;;;;;;;;;
Mr. Nutz - Hoppin' Mad (Hack);Mr. Nutz - Hoppin' Mad (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Mulan (Hack);Mulan (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
NHL 15 (Hack);NHL 15 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
NHL 17 (Hack);NHL 17 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
NHL 18 (Hack);NHL 18 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
NHL 19 (Hack);NHL 19 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
NHL 67 (Hack);NHL 67 (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Ninja Gaiden (Hack);Ninja Gaiden (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
OMG THE RED RINGS;OMG THE RED RINGS;Sega Genesis Hacks;;;;;;;;;;;;;;
OMG THE RED RINGS (Hack);OMG THE RED RINGS (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Oh Mummy Genesis;Oh Mummy Genesis;Sega Genesis Hacks;;;;;;;;;;;;;;
Oh Mummy Genesis (Hack);Oh Mummy Genesis (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
Onslaught (Hack);Onslaught (Hack);Sega Genesis Hacks;;;;;;;;;;;;;;
