#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
A Ressha de Gyoukou MD (Japan);A Ressha de Gyoukou MD (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Advanced Daisenryaku (Japan);Advanced Daisenryaku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aero Blasters (Japan);Aero Blasters (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
After Burner II (Japan);After Burner II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aladdin (Japan);Aladdin (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Alex Kidd - Tenkuu Majou (Japan);Alex Kidd - Tenkuu Majou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Alisia Dragoon (Japan);Alisia Dragoon (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aoki Ookami to Shiroki Meshika - Genchou Hishi (Japan);Aoki Ookami to Shiroki Meshika - Genchou Hishi (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aworg (Japan);Aworg (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bad Omen (Japan);Bad Omen (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bahamut Senki (Japan);Bahamut Senki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bare Knuckle - Ikari no Tetsuken - Streets of Rage (World) (Rev A);Bare Knuckle - Ikari no Tetsuken - Streets of Rage (World) (Rev A);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bare Knuckle II (Japan);Bare Knuckle II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bare Knuckle III (Japan);Bare Knuckle III (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Batman (Japan);Batman (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Battle Golfer Yui (Japan);Battle Golfer Yui (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Battle Mania (Japan);Battle Mania (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Beast Warriors (Japan);Beast Warriors (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon (Japan);Bishoujo Senshi Sailor Moon (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Blue Almanac (Japan);Blue Almanac (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Boogie Woogie Bowling (Japan);Boogie Woogie Bowling (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Burning Force (Japan);Burning Force (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Chelnov (Japan);Chelnov (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Chibi Maruko-Chan - Wakuwaku Shopping (Japan);Chibi Maruko-Chan - Wakuwaku Shopping (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Chou Yakyuu Miracle Nine (Japan);Chou Yakyuu Miracle Nine (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Comix Zone (Japan);Comix Zone (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Contra - The Hard Corps (Japan);Contra - The Hard Corps (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Crayon Shin-Chan - Arashi o Yobu Sono Ko (Japan);Crayon Shin-Chan - Arashi o Yobu Sono Ko (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Crude Buster (Japan);Crude Buster (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Crying - Asia Seimei Sensou (Japan);Crying - Asia Seimei Sensou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Curse (Japan);Curse (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Cutie Suzuki no Ringside Angel (Japan);Cutie Suzuki no Ringside Angel (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Dahna Megami Tanjou (Japan);Dahna Megami Tanjou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Daikoukai Jidai (Japan);Daikoukai Jidai (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Daikoukai Jidai II (Japan);Daikoukai Jidai II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Dangerous Seed (Japan);Dangerous Seed (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Darius II (Japan);Darius II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Darwin 4081 (Japan, Korea);Darwin 4081 (Japan, Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
David Robinson Basketball (Japan);David Robinson Basketball (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Devil Crash MD (Japan);Devil Crash MD (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Devil's Course 3-D Golf (J) [!];Devil's Course 3-D Golf (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
