#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
16t (Japan);16t (Japan);Sega Mega Drive;;;;;;;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Sega Mega Drive;;;;;;;;;;;;;;
688 Attack Sub (USA, Europe);688 Attack Sub (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
AAAHH!!! Real Monsters (USA);AAAHH!!! Real Monsters (USA);Sega Mega Drive;;;;;;;;;;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis (USA);Sega Mega Drive;;;;;;;;;;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);Sega Mega Drive;;;;;;;;;;;;;;
Aa Harimanada (Japan);Aa Harimanada (Japan);Sega Mega Drive;;;;;;;;;;;;;;
Action 52 (USA) (Unl);Action 52 (USA) (Unl);Sega Mega Drive;;;;;;;;;;;;;;
Addams Family Values (Europe);Addams Family Values (Europe);Sega Mega Drive;;;;;;;;;;;;;;
Addams Family, The (USA, Europe);Addams Family, The (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Advanced Busterhawk Gleylancer (Japan) (Translated En);Advanced Busterhawk Gleylancer (Japan) (Translated En);Sega Mega Drive;;;;;;;;;;;;;;
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Translated En);Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Translated En);Sega Mega Drive;;;;;;;;;;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);Sega Mega Drive;;;;;;;;;;;;;;
Adventures of Mighty Max, The (USA);Adventures of Mighty Max, The (USA);Sega Mega Drive;;;;;;;;;;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);Adventures of Rocky and Bullwinkle and Friends, The (USA);Sega Mega Drive;;;;;;;;;;;;;;
Adventurous Boy - Mao Xian Xiao Zi (China) (Unl);Adventurous Boy - Mao Xian Xiao Zi (China) (Unl);Sega Mega Drive;;;;;;;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);Sega Mega Drive;;;;;;;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);Sega Mega Drive;;;;;;;;;;;;;;
Aerobiz (USA);Aerobiz (USA);Sega Mega Drive;;;;;;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Sega Mega Drive;;;;;;;;;;;;;;
After Burner II (USA, Europe);After Burner II (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
Air Buster (USA);Air Buster (USA);Sega Mega Drive;;;;;;;;;;;;;;
Air Diver (USA);Air Diver (USA);Sega Mega Drive;;;;;;;;;;;;;;
Aladdin (USA);Aladdin (USA);Sega Mega Drive;;;;;;;;;;;;;;
Alex Kidd in the Enchanted Castle (USA);Alex Kidd in the Enchanted Castle (USA);Sega Mega Drive;;;;;;;;;;;;;;
