#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
177;177;Sharp X1;;;;;;;;;;;;;;
1942;1942;Sharp X1;;;;;;;;;;;;;;
3D Bomberman;3D Bomberman;Sharp X1;;;;;;;;;;;;;;
A Ressha de Ikou;A Ressha de Ikou;Sharp X1;;;;;;;;;;;;;;
AS - The Armored Soldier;AS - The Armored Soldier;Sharp X1;;;;;;;;;;;;;;
Akarui Nouen;Akarui Nouen;Sharp X1;;;;;;;;;;;;;;
American Truck;American Truck;Sharp X1;;;;;;;;;;;;;;
Apple Tree;Apple Tree;Sharp X1;;;;;;;;;;;;;;
Arctic;Arctic;Sharp X1;;;;;;;;;;;;;;
Asteroid Challenger;Asteroid Challenger;Sharp X1;;;;;;;;;;;;;;
Aztec;Aztec;Sharp X1;;;;;;;;;;;;;;
Balloon Fight;Balloon Fight;Sharp X1;;;;;;;;;;;;;;
Batten Tanuki no Daibouken;Batten Tanuki no Daibouken;Sharp X1;;;;;;;;;;;;;;
Battle City;Battle City;Sharp X1;;;;;;;;;;;;;;
Bean's Jack;Bean's Jack;Sharp X1;;;;;;;;;;;;;;
Bokosuka Wars;Bokosuka Wars;Sharp X1;;;;;;;;;;;;;;
Bomberman;Bomberman;Sharp X1;;;;;;;;;;;;;;
Bosconian;Bosconian;Sharp X1;;;;;;;;;;;;;;
Boulder Dash;Boulder Dash;Sharp X1;;;;;;;;;;;;;;
Bouryuu Godzilla;Bouryuu Godzilla;Sharp X1;;;;;;;;;;;;;;
Brain Breaker;Brain Breaker;Sharp X1;;;;;;;;;;;;;;
Bu u ma;Bu u ma;Sharp X1;;;;;;;;;;;;;;
Building Hopper;Building Hopper;Sharp X1;;;;;;;;;;;;;;
Cannon Ball;Cannon Ball;Sharp X1;;;;;;;;;;;;;;
Carmine (Disk A);Carmine (Disk A);Sharp X1;;;;;;;;;;;;;;
Carmine (Disk B);Carmine (Disk B);Sharp X1;;;;;;;;;;;;;;
Chack'n Pop;Chack'n Pop;Sharp X1;;;;;;;;;;;;;;
Champion ProWres Special;Champion ProWres Special;Sharp X1;;;;;;;;;;;;;;
Changer;Changer;Sharp X1;;;;;;;;;;;;;;
Choplifter;Choplifter;Sharp X1;;;;;;;;;;;;;;
Cloud Kingdom;Cloud Kingdom;Sharp X1;;;;;;;;;;;;;;
Columns X1;Columns X1;Sharp X1;;;;;;;;;;;;;;
Coron;Coron;Sharp X1;;;;;;;;;;;;;;
Cosmic Soldier;Cosmic Soldier;Sharp X1;;;;;;;;;;;;;;
Cosmo Traveler;Cosmo Traveler;Sharp X1;;;;;;;;;;;;;;
Courageous_Perseus;Courageous_Perseus;Sharp X1;;;;;;;;;;;;;;
Daidassou;Daidassou;Sharp X1;;;;;;;;;;;;;;
Daisenryaku X1 (Disk A);Daisenryaku X1 (Disk A);Sharp X1;;;;;;;;;;;;;;
Daisenryaku X1 (Disk B);Daisenryaku X1 (Disk B);Sharp X1;;;;;;;;;;;;;;
Dark Storm - Demon Crystal III;Dark Storm - Demon Crystal III;Sharp X1;;;;;;;;;;;;;;
Deplos;Deplos;Sharp X1;;;;;;;;;;;;;;
Dezalis;Dezalis;Sharp X1;;;;;;;;;;;;;;
Diablo;Diablo;Sharp X1;;;;;;;;;;;;;;
Dialide (Disk A);Dialide (Disk A);Sharp X1;;;;;;;;;;;;;;
Dialide (Disk B);Dialide (Disk B);Sharp X1;;;;;;;;;;;;;;
Dig Dug;Dig Dug;Sharp X1;;;;;;;;;;;;;;
Digital Devil Story - Megami Tensei (Disk A);Digital Devil Story - Megami Tensei (Disk A);Sharp X1;;;;;;;;;;;;;;
