#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - Agent Under Fire (USA);007 - Agent Under Fire (USA);Sony PlayStation 2;;2002;Electronic Arts;Shooter;;;;;0;;;;;
007 - Everything or Nothing (USA);007 - Everything or Nothing (USA);Sony PlayStation 2;;2004;EA Redwood Shores;Shooter;;;;;0;;;;;
007 - From Russia with Love (USA);007 - From Russia with Love (USA);Sony PlayStation 2;;2005;EA Redwood Shores;Action;;;;;0;;;;;
007 - Nightfire (USA);007 - Nightfire (USA);Sony PlayStation 2;;2002;Eurocom Entertainment Software;Shooter;;;;;0;;;;;
007 - Quantum of Solace (USA);007 - Quantum of Solace (USA);Sony PlayStation 2;;2008;Eurocom Entertainment Software;Shooter;;;;;0;;;;;
10 Pin - Champions Alley (Europe);10 Pin - Champions Alley (Europe);Sony PlayStation 2;;2005;Atomic Planet;Sports/Bowling;;;;;0;;;;;
10,000 Bullets (Europe);10,000 Bullets (Europe);Sony PlayStation 2;;2005;Blue Moon;Shooter;;;;;0;;;;;
18 Wheeler - American Pro Trucker (USA);18 Wheeler - American Pro Trucker (USA);Sony PlayStation 2;;2001;Acclaim Studios Cheltenham;Driving;;;;;0;;;;;
187 -  Ride or Die (USA);187 -  Ride or Die (USA);Sony PlayStation 2;;2005;Ubisoft;Driving;;;;;0;;;;;
1945 I & II The Arcade Games (Europe);1945 I & II The Arcade Games (Europe);Sony PlayStation 2;;2004;Takara;Shoot-'Em-Up;;;;;0;;;;;
2002 FIFA World Cup (USA);2002 FIFA World Cup (USA);Sony PlayStation 2;;2002;EA Canada;Sports/Soccer;;;;;0;;;;;
21 Card Games (Europe);21 Card Games (Europe);Sony PlayStation 2;;2006;Mere Mortals;Casino;;;;;0;;;;;
24 - The Game (USA);24 - The Game (USA);Sony PlayStation 2;;2006;SCE Studio Cambridge;Action;;;;;0;;;;;
